plate,well,compound,path,C1,C2,C3,C4,C5,moa
P015076,D13,dmso,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s1_w13C14C92D-DF59-498A-AC17-4B3BD0533549.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s1_w24C0762CA-4A3E-4AC5-A6D8-9D0C0B9F2135.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s1_w3704F0FAB-FC94-45FD-9891-16FDD00049ED.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s1_w4D41705A8-0789-442D-B2FE-23D885C603FC.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s1_w5B7877B97-B44D-4E17-A8BC-217911BBC3C4.tif,dmso
P015076,D13,dmso,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s2_w1472F4529-1266-44B3-8016-F0A0A5BC6F9E.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s2_w219C0C413-EBF8-4DA7-9FD8-55E062C97740.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s2_w381A40DD0-F584-4E75-9A9C-B2A01255D436.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s2_w47BEA55A9-0C84-466C-8D2F-ACF31FB99AF8.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s2_w5C41C91D8-D0B0-47E1-8114-495AB7703EFE.tif,dmso
P015076,D13,dmso,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s3_w1AC7460DF-2D4C-4CEE-B640-75CA980460AF.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s3_w29E6BFF4E-D953-4F47-9A42-88B922F1C2F7.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s3_w3D8B09348-B827-4848-BA33-A7CC3C14B633.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s3_w419FA45AE-3AC1-489B-89B8-D52CAA2FD36F.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s3_w52772D6AC-853E-4A96-BB0A-9D23CB7CB5C0.tif,dmso
P015076,D13,dmso,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s4_w1562C0C9C-DCB2-4B24-8D90-D90A94B22501.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s4_w25ECCA951-C017-418C-BDFD-E01E183416E4.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s4_w362CD182C-3CEF-47EF-A311-56A47652A596.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s4_w4B7C79166-D9DE-4AD9-AB39-CC0452354714.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s4_w55932BB13-4312-4E3E-9E99-53A899DD4B58.tif,dmso
P015076,D13,dmso,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s5_w1784EB810-63E9-4913-AC40-E3A633CB9E28.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s5_w20A492B4E-ACE1-4711-928C-82790107A0AF.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s5_w34EA56D27-DEBA-473D-9236-C6F4766413BD.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s5_w47998B3DA-8A68-44D9-88BD-9BB829629B03.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s5_w527E1CAB0-F641-492E-A57B-7332DB25D1A5.tif,dmso
P015076,D13,dmso,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s6_w1532220B6-6759-48FB-8015-CBB41AE4E9A5.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s6_w2CB1FC6FD-3056-4CBE-9696-E9992D5D202B.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s6_w3B4D7DDB7-739A-468A-B98F-CFF79ACEF80A.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s6_w41CBD3879-EE69-46FF-AB46-DA9EBBB820CA.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s6_w56623E3A9-8632-4F08-879B-2F2C20309AD0.tif,dmso
P015076,D13,dmso,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s7_w1B901F8F2-D62C-44CA-9FE6-5FC1AF511411.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s7_w2F3918E14-2FC3-4E33-9DA7-07AAE321B785.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s7_w30170FD82-C33F-4793-BCC4-C17584381FEF.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s7_w48129D0F5-EB2E-4830-AAE1-F5A5C5F0096F.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s7_w570D85BBC-053C-4AAD-8830-5B2333F20969.tif,dmso
P015076,D13,dmso,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s8_w1E1464742-71C9-4CE3-971A-AFFAB0CCBECF.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s8_w243D64B13-D194-4925-9BED-70D361AE4D74.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s8_w302D6AB10-A0DD-4604-9468-47DF5AEE8A10.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s8_w4F8E64A27-0666-44B7-A024-44AFD55B3671.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s8_w513D002A7-6AB8-4C8C-AB4E-092343328EA7.tif,dmso
P015076,D13,dmso,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s9_w131665606-8890-4F4A-B438-0E876B7E280E.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s9_w2E2FF65CC-1AE1-46DC-B501-46A2ED343895.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s9_w32DBA97DF-CBB1-4171-BD83-9F9054055DAA.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s9_w453ADEB07-496C-41DF-90AD-F86D0770DFBE.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s9_w5DA14117C-343E-45EA-854A-7498F442BD37.tif,dmso
P015076,D17,dmso,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s1_w15E4EAE76-F89E-449B-BF7C-ADE31EEB1359.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s1_w2E954B7F7-F369-4BE1-84FA-C72C4C662430.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s1_w3349A0A25-5269-4D65-ADC6-F49F4A0B4486.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s1_w49D917491-08EC-4747-BB9E-0E9584EBFE9E.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s1_w5461CA37F-A328-446A-8AA2-D01E8F34BBE1.tif,dmso
