plate,well,site,compound,path,moa
P015078,B10,s1,dmso,/scratch2-shared/phil/downstream_moas_numpy_data/bf/specs935-v1-FA-P015078-U2OS-48h-P2-L1-TL_B10_s1_w6F79DA125-D81D-4A87-B23F-5ABC9A5957A5.npy,dmso
P015078,B10,s2,dmso,/scratch2-shared/phil/downstream_moas_numpy_data/bf/specs935-v1-FA-P015078-U2OS-48h-P2-L1-TL_B10_s2_w69CEF277C-1B41-4C61-A547-88C17B0EBDFE.npy,dmso
P015078,B10,s3,dmso,/scratch2-shared/phil/downstream_moas_numpy_data/bf/specs935-v1-FA-P015078-U2OS-48h-P2-L1-TL_B10_s3_w6FE9070E8-FE7D-47BC-B840-943E11EFBB2E.npy,dmso
P015078,B10,s4,dmso,/scratch2-shared/phil/downstream_moas_numpy_data/bf/specs935-v1-FA-P015078-U2OS-48h-P2-L1-TL_B10_s4_w6B5E330F6-50CE-44C2-AF6A-0CF4F0662705.npy,dmso
P015078,B10,s5,dmso,/scratch2-shared/phil/downstream_moas_numpy_data/bf/specs935-v1-FA-P015078-U2OS-48h-P2-L1-TL_B10_s5_w64694683B-98F2-45EA-BC46-D43156DFA869.npy,dmso
P015078,B21,s1,dmso,/scratch2-shared/phil/downstream_moas_numpy_data/bf/specs935-v1-FA-P015078-U2OS-48h-P2-L1-TL_B21_s1_w62A02106D-E662-4C57-8EBD-BF3B006572BE.npy,dmso
P015078,B21,s2,dmso,/scratch2-shared/phil/downstream_moas_numpy_data/bf/specs935-v1-FA-P015078-U2OS-48h-P2-L1-TL_B21_s2_w620222710-304B-4AD1-881E-78B59EE31671.npy,dmso
P015078,B21,s3,dmso,/scratch2-shared/phil/downstream_moas_numpy_data/bf/specs935-v1-FA-P015078-U2OS-48h-P2-L1-TL_B21_s3_w6E2FF1000-7E2E-4C5A-BA33-3A3CC9168D36.npy,dmso
P015078,B21,s4,dmso,/scratch2-shared/phil/downstream_moas_numpy_data/bf/specs935-v1-FA-P015078-U2OS-48h-P2-L1-TL_B21_s4_w6911F8D5C-65A3-4588-BEE2-933346138F0D.npy,dmso
P015078,B21,s5,dmso,/scratch2-shared/phil/downstream_moas_numpy_data/bf/specs935-v1-FA-P015078-U2OS-48h-P2-L1-TL_B21_s5_w6DAC3CD83-C06C-4D10-8F73-AA5D9283AF8D.npy,dmso
