plate,well,site,bf_site,compound,path,moa
P015078,G09,s2,s1,CBK041553,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015078-U2OS-48h-P2-L1_G09_s2_w5D89799B3-A2BA-4837-851A-BD7B1618C602.npy,cyclooxygenase inhibitor
P015078,G09,s4,s2,CBK041553,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015078-U2OS-48h-P2-L1_G09_s4_w5CD23B553-338B-4AF2-ABF2-61C9766B62E3.npy,cyclooxygenase inhibitor
P015078,G09,s5,s3,CBK041553,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015078-U2OS-48h-P2-L1_G09_s5_w593930396-3F75-49A5-AFE2-7F247E344FC0.npy,cyclooxygenase inhibitor
P015078,G09,s6,s4,CBK041553,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015078-U2OS-48h-P2-L1_G09_s6_w5B7CB163A-BCE8-4045-8B37-198F5EDE08A5.npy,cyclooxygenase inhibitor
P015078,G09,s8,s5,CBK041553,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015078-U2OS-48h-P2-L1_G09_s8_w5B02858F7-7E7A-4D97-A24B-7E25EDB98E5D.npy,cyclooxygenase inhibitor
P015078,H17,s2,s1,CBK041553,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015078-U2OS-48h-P2-L1_H17_s2_w5C2BCA808-5B98-4191-BECC-7C32F7AF8DF7.npy,cyclooxygenase inhibitor
P015078,H17,s4,s2,CBK041553,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015078-U2OS-48h-P2-L1_H17_s4_w5FAFBFE78-CB24-4779-810A-960996FED7E3.npy,cyclooxygenase inhibitor
P015078,H17,s5,s3,CBK041553,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015078-U2OS-48h-P2-L1_H17_s5_w51B2FFB79-3E08-4F9C-A45C-6DB61ED31DEE.npy,cyclooxygenase inhibitor
P015078,H17,s6,s4,CBK041553,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015078-U2OS-48h-P2-L1_H17_s6_w5EEC626ED-2C1C-4AA0-A6DE-95256363D893.npy,cyclooxygenase inhibitor
P015078,H17,s8,s5,CBK041553,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015078-U2OS-48h-P2-L1_H17_s8_w54EE9ADD3-98E3-4DD6-A1E2-7D6080F2B524.npy,cyclooxygenase inhibitor
P015078,I16,s2,s1,CBK041553,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015078-U2OS-48h-P2-L1_I16_s2_w55AEA48DA-A8F4-4068-9AB2-4C0D0ED4B742.npy,cyclooxygenase inhibitor
