plate,compound,well,mean_C1,std_C1,median_C1,mad_C1,mean_C2,std_C2,median_C2,mad_C2,mean_C3,std_C3,median_C3,mad_C3,mean_C4,std_C4,median_C4,mad_C4,mean_C5,std_C5,median_C5,mad_C5,mean_C6,std_C6,median_C6,mad_C6
P015076,CBK041182,E23,10837.20096566358,610.4189635343677,10898.0,467.0,10836.725310785323,601.5240060932878,10897.0,466.0,10835.171610210906,596.4016100203986,10893.0,466.0,10834.246237097052,599.374124387161,10889.0,465.0,10834.750734353567,602.3128206397904,10888.0,464.0,10838.090135416667,597.2597827019896,10887.0,460.0
P015076,CBK041182,H13,9452.638626371741,614.8301370306492,9469.0,496.0,9457.08789896262,608.5318129855233,9471.0,497.0,9458.363380829904,604.5914180650494,9471.0,497.0,9452.52272980967,605.2322149958201,9464.0,495.0,9448.593357381687,607.0715658870542,9460.0,493.0,9448.072066958162,606.8725578619991,9461.0,492.0
P015076,CBK041182,J05,11666.101773791152,636.0676929539786,11702.0,463.0,11664.91435103738,627.7598717059011,11701.0,460.0,11664.975769504457,622.4601512640307,11698.0,457.0,11664.725524777092,624.865601562771,11696.0,458.0,11667.692133187586,629.4197644324154,11701.0,462.0,11662.47535708162,628.7449129725708,11694.0,460.0
P015076,CBK041182,all,10651.980455275492,1103.9895873841454,10755.0,819.0,10652.90918692844,1097.596757492073,10756.0,813.0,10652.836920181755,1094.3979058295804,10756.0,810.0,10650.498163894605,1097.5090021968358,10753.0,814.0,10650.345408307614,1101.6190410295442,10752.0,818.0,10649.545853152149,1099.3101018858504,10750.0,814.0
P015076,CBK200601,H08,12207.68073388203,864.8991138860754,12132.0,564.0,12212.214577374829,850.8475242800258,12130.0,555.0,12209.412204946844,848.6129264479792,12126.0,555.0,12203.074868012689,854.7282710841204,12119.0,558.0,12203.005974065502,858.5111117944875,12118.0,560.0,12202.187092935528,860.4415470226226,12116.0,561.0
P015076,CBK200601,I03,12755.48679471022,817.0321988800011,12741.0,616.0,12754.275112482854,805.7962113482997,12737.0,611.0,12754.003058470507,802.1702671895291,12732.0,611.0,12752.88706391461,806.9938127970302,12728.0,612.0,12751.502464634774,811.8871362611512,12727.0,613.0,12750.016592249656,811.7816415664154,12726.0,613.0
P015076,CBK200601,M06,11524.235469092935,681.895518949723,11595.0,466.0,11519.135774777093,670.3297900659131,11590.0,458.0,11517.764899819958,664.289273254202,11584.0,457.0,11517.305347993828,665.7526556746853,11581.0,459.0,11515.582877572017,670.3353336382992,11578.0,461.0,11515.329354295267,670.4654019475289,11579.0,460.0
P015076,CBK200601,all,12162.467665895061,938.3726757288688,12095.0,597.0,12161.875154878258,929.0096427929025,12090.0,591.0,12160.393387745771,926.0395841376791,12086.0,590.0,12157.755759973708,929.4152015308837,12082.0,592.0,12156.697105424097,933.187528570735,12081.0,595.0,12155.844346493484,933.5096335230497,12080.0,595.0
P015076,CBK201029,D22,10920.740384344994,860.0563116246918,10889.0,604.0,10914.936591349451,856.6533703096948,10885.0,607.0,10913.846437585735,849.5344364796894,10880.0,605.0,10912.580363725994,849.4718416184223,10874.0,603.0,10912.01786252572,853.7487245329891,10873.0,604.0,10911.497968106996,856.1540706954681,10874.0,606.0
P015076,CBK201029,I06,13785.711485082304,737.4241735679677,13797.0,530.0,13786.861551054526,728.4528923512979,13800.0,527.0,13789.76777439129,723.3896160446532,13801.0,526.0,13783.779497599451,723.1615548200065,13790.0,524.0,13783.122915252057,728.5811316592597,13787.0,525.0,13788.786303455076,730.7669999037328,13798.0,526.0
P015076,CBK201029,J18,11467.452072959533,1135.8366251824539,11621.0,885.0,11464.325906978738,1126.098176442435,11615.0,883.0,11461.729485082304,1121.4062659260248,11610.0,880.0,11458.430158736282,1124.3301081605746,11604.0,878.0,11455.278494855967,1127.3012805813676,11600.0,877.0,11452.698760631001,1128.6114463270308,11597.0,878.0
P015076,CBK201029,all,12057.96798079561,1549.2696526831485,12007.0,1245.0,12055.374683127571,1547.1026885756407,12002.0,1246.0,12055.114565686443,1545.549940657198,11999.0,1249.0,12051.59667335391,1544.7054994897821,11995.0,1251.0,12050.13975754458,1547.3566193047398,11993.0,1251.0,12050.994344064358,1551.0334713555708,11991.0,1253.0
P015076,CBK277913,B16,11307.631270018861,627.6293393699442,11331.0,434.0,11306.326400248628,620.0165855519027,11330.0,430.0,11309.273853052126,609.8825231159501,11327.0,428.0,11304.868373799725,607.9985865291463,11318.0,426.0,11303.824991083677,615.1909498269107,11317.0,428.0,11306.065579432441,618.2814730596452,11322.0,430.0
P015076,CBK277913,C21,10481.456987954389,696.9164872557269,10533.0,504.0,10480.662194487311,685.5001469300697,10530.0,502.0,10479.300365526406,678.3307325537636,10525.0,497.0,10478.219384044925,681.8708753023066,10522.0,496.0,10477.291352494856,686.9392184258147,10519.0,498.0,10478.126898662551,686.7220267046097,10521.0,498.0
P015076,CBK277913,K10,13245.36826247428,816.0355874134066,13238.0,589.0,13246.274646905007,796.6705030110105,13240.0,575.0,13240.967535365226,789.0324389213667,13231.0,575.0,13237.155210090878,792.9699361349275,13222.0,579.0,13235.88132188786,799.7815445571013,13219.0,582.0,13235.803462448559,802.1720687155473,13221.0,583.0
P015076,CBK277913,all,11678.152173482511,1362.7247991109941,11438.0,913.0,11677.754413880315,1356.4978413323406,11436.0,915.0,11676.513917981252,1350.3533044868775,11433.0,912.0,11673.414322645176,1350.6805830341402,11428.0,909.0,11672.332555155464,1353.8343030518379,11428.0,912.0,11673.331980181185,1354.2594629074576,11431.0,913.0
P015076,dmso,B23,11279.487789951989,711.4867750070623,11346.0,530.0,11278.562644290123,703.7794527381114,11344.0,527.0,11278.58693818587,697.6386261348894,11339.0,526.0,11282.71376178841,699.5970049592793,11348.0,521.0,11282.773525805898,704.3669875653509,11348.0,521.0,11279.266827160494,706.449969295649,11341.0,523.0
P015076,dmso,C06,12863.779578532236,732.3750261489834,12842.0,535.0,12862.820487868656,721.1277742018278,12841.0,530.0,12868.621045181755,720.9817069915364,12840.0,533.0,12861.336048996913,722.4615108915432,12831.0,531.0,12859.778704389575,727.9294404317651,12830.0,532.0,12858.377415980796,727.8755990932164,12830.0,531.0
P015076,dmso,D17,8983.454278506515,564.1727437618283,9054.0,397.0,8986.983539351852,560.2048460426147,9055.0,397.0,8982.852779192386,555.1583313933158,9050.0,397.0,8979.191819615911,557.1200262145487,9043.0,397.0,8978.325987182785,560.0139190119424,9041.0,399.0,8977.153984696502,559.9024160095036,9040.0,399.0
P015076,dmso,E11,11029.461416881002,705.8522975164976,11120.0,493.0,11033.917547067902,701.9435887772512,11124.0,492.0,11028.450784550754,696.0835993818226,11112.0,490.0,11025.943127443416,698.3632952324076,11106.0,492.0,11025.548067644033,701.9284720391777,11105.0,494.0,11024.832771262003,702.472472066689,11105.0,494.0
P015076,dmso,F03,8280.135014531894,607.6376237505931,8369.0,406.0,8279.18241520919,604.4171816894489,8368.0,403.0,8278.530776020234,604.0511020194675,8365.0,403.0,8277.925241683814,606.0796804325266,8362.0,404.0,8276.998443329903,607.253058821109,8360.0,406.0,8276.046946930726,607.0376352020069,8360.0,406.0
P015076,dmso,F15,9432.91845739026,582.8860843011498,9433.0,438.0,9436.035190929355,572.0925981392377,9439.0,431.0,9427.150715320644,563.5298030737038,9426.0,431.0,9424.826602366255,564.4019206327491,9419.0,431.0,9423.211136917009,568.7923181784984,9418.0,431.0,9421.834013545953,571.1831864121384,9418.0,431.0
P015076,dmso,G08,10359.957329946845,704.1391140624348,10394.0,510.0,10358.671064386146,698.2421800626281,10391.0,508.0,10358.19699172668,696.0378603941399,10391.0,510.0,10362.52246090535,700.1329042875498,10398.0,513.0,10358.841109953704,702.6227152011476,10391.0,512.0,10360.781487782922,704.5857236758134,10391.0,513.0
P015076,dmso,G10,9309.45397196502,663.1464529896961,9351.0,447.0,9309.087571159122,656.3493289138056,9351.0,443.0,9314.528504672497,658.9563222119856,9352.0,445.0,9309.672246270577,662.125928821702,9345.0,445.0,9306.082613983197,665.397260337487,9342.0,445.0,9305.702115826474,665.8337796656099,9341.0,445.0
P015076,dmso,H19,10845.89917755487,822.8898128220694,10800.0,636.0,10842.840082347393,811.3029839779366,10792.0,631.0,10841.639357596023,808.0303942928543,10787.0,627.0,10841.373020147463,812.7252887843878,10787.0,629.0,10840.08804749657,817.1314989887576,10787.0,631.0,10844.852719007202,812.5272488897899,10793.0,624.0
P015076,dmso,J12,11148.714313828876,671.0884300687873,11152.0,476.0,11144.20026118827,669.3524651496111,11148.0,475.0,11148.809477066186,670.970384958877,11148.0,475.0,11150.232180555555,671.7134735643174,11146.0,479.0,11142.45754273834,670.2061809311147,11137.0,477.0,11138.889105195472,670.8247150638872,11135.0,476.0
P015076,dmso,K14,9735.84109837963,790.9999191230687,9809.0,594.0,9734.963196716393,785.4590084866583,9808.0,594.0,9738.966624914267,773.9479333158281,9806.0,588.0,9739.813275548697,775.2612723037838,9803.0,585.0,9737.241014531894,780.3994896066109,9799.0,587.0,9731.64121664952,787.5538472613483,9798.0,592.0
