plate,compound,well,mean_C1,std_C1,median_C1,mad_C1,mean_C2,std_C2,median_C2,mad_C2,mean_C3,std_C3,median_C3,mad_C3,mean_C4,std_C4,median_C4,mad_C4,mean_C5,std_C5,median_C5,mad_C5
P015076,CBK041182,E23,256.85473505848955,204.02634589796088,215.0,22.0,1106.2538751238378,1497.8841593289774,553.0,115.0,1344.2248653025454,631.9073958056789,1068.0,169.0,967.9412395928593,761.5004302371543,699.0,105.0,506.28807777492,561.6254575574071,289.0,62.0
P015076,CBK041182,H13,251.75981033760098,200.65323175384967,212.0,22.0,1078.36012714811,1381.7042499188265,590.0,106.0,1298.064309532655,625.109743596187,1029.0,140.0,992.679218773815,826.7765182692234,709.0,104.0,516.3551835657674,570.8036311041036,306.0,60.0
P015076,CBK041182,J05,251.51665440195853,195.0712876068364,212.0,22.0,1194.2466290390184,1697.8619570422668,559.0,114.0,1320.0479827770157,685.9955971814369,1017.0,149.0,1049.7561827227175,933.1516539992077,708.0,109.0,550.1685411427374,616.4130758783682,314.0,66.0
P015076,CBK041182,all,253.3770665993497,199.96620323744673,213.0,22.0,1126.2868771036553,1532.189678923225,569.0,115.0,1320.7790525374053,648.517619373627,1038.0,153.0,1003.4588803631307,844.1436429679969,705.0,106.0,524.2706008278083,583.7413092144957,304.0,64.0
P015076,CBK200601,H08,292.52933615778846,285.3361934176892,217.0,25.0,1289.5574934985138,1623.620361143263,636.0,149.0,1525.1930114740512,805.0800657486594,1121.0,205.0,1264.7474977375782,1071.7237221944888,833.0,172.0,675.9969965754077,745.6980797292747,366.0,95.0
P015076,CBK200601,I03,296.987547939529,288.152800633157,217.0,25.0,1096.7698229119037,1498.3631064875985,536.0,132.0,1517.5292375638242,828.965916171651,1073.0,215.0,1323.1004176192653,1164.8561734147515,785.0,175.0,698.4367539008916,796.3773953331722,352.0,98.0
P015076,CBK200601,M06,303.02709762231365,324.93995549874705,222.0,26.0,1099.2538069892166,1564.112286845619,493.0,124.0,1611.0418753334095,830.2958430559431,1172.0,217.0,1354.4436284722221,1130.2040700125983,841.0,167.0,693.8728930184042,778.0435702505539,362.0,99.0
P015076,CBK200601,all,297.5146605732104,300.05014732864896,219.0,26.0,1161.8603744665447,1565.4759913271944,576.0,165.0,1551.2547081237617,822.6219695169553,1132.0,227.0,1314.0971812763553,1123.5341808568874,823.0,176.0,689.4355478315679,773.7173656059596,361.0,98.0
P015076,CBK201029,D22,297.4319609720317,282.54710246631106,221.0,26.0,1371.275914351852,1960.6020879673365,663.0,191.0,1508.0518151291724,737.7172607586666,1147.0,264.0,1151.5710350699208,913.2504056728004,795.0,181.0,627.8382561252096,667.3806461714594,352.0,113.0
P015076,CBK201029,I06,278.50037253753237,259.0048593127893,216.0,24.0,1049.120488302088,1411.4601338046755,536.0,111.0,1346.8822139822435,719.404867301836,992.0,154.0,1126.782656940634,964.376929796091,717.0,132.0,599.6161674335086,656.9587174991482,326.0,73.0
