plate,well,site,compound,batch_id,path,moa
P015076,B15,s1,CBK308624,BJ1896979,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_B15_s1_w6BA6613B1-2F9B-4A4B-B18F-E90B031C62E6.npy,cyclooxygenase inhibitor
P015076,B15,s2,CBK308624,BJ1896979,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_B15_s2_w694CBDB5D-6EF1-483C-8739-B8BFADF089CA.npy,cyclooxygenase inhibitor
P015076,B15,s3,CBK308624,BJ1896979,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_B15_s3_w636C0BDC3-92E0-4511-9BF6-36D951E10AEE.npy,cyclooxygenase inhibitor
P015076,B15,s4,CBK308624,BJ1896979,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_B15_s4_w6845A0DBE-3E16-4941-9675-603CAABCA95B.npy,cyclooxygenase inhibitor
P015076,B15,s5,CBK308624,BJ1896979,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_B15_s5_w694587B3F-C55E-4DD0-BBBB-930E1D330F69.npy,cyclooxygenase inhibitor
P015076,B16,s1,CBK277913,BJ1898391,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_B16_s1_w6F4A61923-917C-4BA1-876F-192AFF4D99BB.npy,retinoid receptor agonist
P015076,B16,s2,CBK277913,BJ1898391,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_B16_s2_w646442316-1141-4612-B789-044261274582.npy,retinoid receptor agonist
P015076,B16,s3,CBK277913,BJ1898391,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_B16_s3_w6234AFF32-448C-47C7-A28A-9E18C06E2A6D.npy,retinoid receptor agonist
P015076,B16,s4,CBK277913,BJ1898391,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_B16_s4_w6F12C094D-8ADE-4AD8-9A31-88675C956CE7.npy,retinoid receptor agonist
P015076,B16,s5,CBK277913,BJ1898391,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_B16_s5_w6EE82037A-31E0-442F-96BA-E4E0AAADC790.npy,retinoid receptor agonist
P015076,C09,s1,CBK308541,BJ1896858,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_C09_s1_w6480AF596-26F5-4803-AF8B-F50B842A7B3C.npy,phosphodiesterase inhibitor
P015076,C09,s2,CBK308541,BJ1896858,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_C09_s2_w6D9598325-BEB8-4A3E-AC90-81B333134180.npy,phosphodiesterase inhibitor
P015076,C09,s3,CBK308541,BJ1896858,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_C09_s3_w651C06267-29E7-438F-B401-2B3417BD6195.npy,phosphodiesterase inhibitor
P015076,C09,s4,CBK308541,BJ1896858,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_C09_s4_w628802624-AB1F-415D-87BB-8D098417BB52.npy,phosphodiesterase inhibitor
P015076,C09,s5,CBK308541,BJ1896858,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_C09_s5_w6A0BD7B6D-F933-45DF-A9A5-E727FDFC11DB.npy,phosphodiesterase inhibitor
P015076,C10,s1,CBK290981,BJ1898795,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_C10_s1_w62B10EBFE-E6C3-4812-A4AE-9F3132A8788E.npy,cyclooxygenase inhibitor
P015076,C10,s2,CBK290981,BJ1898795,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_C10_s2_w618B6FDD6-7459-4733-89B1-DDD4F8ABBC0C.npy,cyclooxygenase inhibitor
P015076,C10,s3,CBK290981,BJ1898795,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_C10_s3_w69AA3B3E9-CDA2-44A0-A82C-ECEC6933E4E2.npy,cyclooxygenase inhibitor
P015076,C10,s4,CBK290981,BJ1898795,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_C10_s4_w69E44BFF8-4ED9-4F7D-82DE-FD361EFA5F2F.npy,cyclooxygenase inhibitor
P015076,C10,s5,CBK290981,BJ1898795,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_C10_s5_w613AEA32C-DFEF-4691-AF39-3129E71FF4FF.npy,cyclooxygenase inhibitor
P015076,C21,s1,CBK277913,BJ1898391,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_C21_s1_w639B4D72B-3AAB-4677-BADA-7CF02DDE741D.npy,retinoid receptor agonist
P015076,C21,s2,CBK277913,BJ1898391,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_C21_s2_w679EAD294-ABA8-481D-804C-C4A62193A029.npy,retinoid receptor agonist
P015076,C21,s3,CBK277913,BJ1898391,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_C21_s3_w66E023E41-FEEB-4507-8A30-51B988A3F9EF.npy,retinoid receptor agonist
P015076,C21,s4,CBK277913,BJ1898391,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_C21_s4_w6992628F6-E64B-4DF0-B780-DA9AD464C46D.npy,retinoid receptor agonist
P015076,C21,s5,CBK277913,BJ1898391,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_C21_s5_w6CA8052E2-4E54-408A-A62B-6DA3BD4EE927.npy,retinoid receptor agonist
P015076,D02,s1,CBK308541,BJ1896858,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D02_s1_w68F34D238-C12D-43C5-AB25-6F589494FBFD.npy,phosphodiesterase inhibitor
P015076,D02,s2,CBK308541,BJ1896858,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D02_s2_w646C5E1EA-3149-49A0-8102-09E3028A13ED.npy,phosphodiesterase inhibitor
P015076,D02,s3,CBK308541,BJ1896858,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D02_s3_w612DB6802-09D7-4D01-A600-5E245CE106BE.npy,phosphodiesterase inhibitor
P015076,D02,s4,CBK308541,BJ1896858,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D02_s4_w672CCCEEC-C955-4C18-82CF-D6A0B448159B.npy,phosphodiesterase inhibitor
P015076,D02,s5,CBK308541,BJ1896858,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D02_s5_w615A9AE5C-9AF6-4B51-901F-F3AD0B2DCD7D.npy,phosphodiesterase inhibitor
P015076,D04,s1,CBK290981,BJ1898795,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D04_s1_w6F1FF10C0-23C6-4FA0-A1BA-3187F3FB9A48.npy,cyclooxygenase inhibitor
