plate,well,site,bf_site,compound,batch_id,path,moa
P015076,B15,s2,s1,CBK308624,BJ1896979,/scratch3-shared/phil/grit_based_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_B15_s2_w5A182CD7A-434B-4373-8B4F-EDA2D2AB9882.npy,cyclooxygenase inhibitor
P015076,B15,s4,s2,CBK308624,BJ1896979,/scratch3-shared/phil/grit_based_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_B15_s4_w505E950A2-F503-45F7-B40A-71458DF5F549.npy,cyclooxygenase inhibitor
P015076,B15,s5,s3,CBK308624,BJ1896979,/scratch3-shared/phil/grit_based_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_B15_s5_w59FF4E97B-1A9C-40BF-8DBE-3ADD75B6A8D4.npy,cyclooxygenase inhibitor
P015076,B15,s6,s4,CBK308624,BJ1896979,/scratch3-shared/phil/grit_based_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_B15_s6_w5C2FA5FC1-73DF-4651-982B-5144B0C9C92F.npy,cyclooxygenase inhibitor
P015076,B15,s8,s5,CBK308624,BJ1896979,/scratch3-shared/phil/grit_based_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_B15_s8_w52AFCC987-D15A-4221-85B7-0F58D446A638.npy,cyclooxygenase inhibitor
P015076,B16,s2,s1,CBK277913,BJ1898391,/scratch3-shared/phil/grit_based_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_B16_s2_w5E9AA98BE-5838-435D-90EF-3BEBC69943A4.npy,retinoid receptor agonist
P015076,B16,s4,s2,CBK277913,BJ1898391,/scratch3-shared/phil/grit_based_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_B16_s4_w5D6F3E1E4-A788-437C-890B-4C0A11838769.npy,retinoid receptor agonist
P015076,B16,s5,s3,CBK277913,BJ1898391,/scratch3-shared/phil/grit_based_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_B16_s5_w518471902-5140-45F0-8489-0C13B891F9D2.npy,retinoid receptor agonist
P015076,B16,s6,s4,CBK277913,BJ1898391,/scratch3-shared/phil/grit_based_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_B16_s6_w507C8B731-2A4C-42CC-886D-42FB9734E900.npy,retinoid receptor agonist
P015076,B16,s8,s5,CBK277913,BJ1898391,/scratch3-shared/phil/grit_based_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_B16_s8_w51B94D889-5F35-4C7F-8296-9FFEE209BB0C.npy,retinoid receptor agonist
P015076,C09,s2,s1,CBK308541,BJ1896858,/scratch3-shared/phil/grit_based_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_C09_s2_w5A0F67E0C-3251-4A4B-AF6F-4075EE7BB493.npy,phosphodiesterase inhibitor
