plate,well,bf_site,fl_site,compound,grit,nuclei_count
P015076,E23,s1,s2,CBK041182,4.088733620510891,45.0
P015076,E23,s2,s4,CBK041182,4.012795292003959,32.0
P015076,E23,s3,s5,CBK041182,4.0935268838640555,47.0
P015076,E23,s4,s6,CBK041182,4.053629849561778,37.0
P015076,E23,s5,s8,CBK041182,4.083690789986369,46.0
P015076,H13,s1,s2,CBK041182,4.012642915400237,52.0
P015076,H13,s2,s4,CBK041182,4.096410867346748,36.0
P015076,H13,s3,s5,CBK041182,4.276695609323569,44.0
P015076,H13,s4,s6,CBK041182,4.266733915473214,56.0
P015076,H13,s5,s8,CBK041182,4.1136020931297015,38.0
P015076,J05,s1,s2,CBK041182,4.128973278815579,36.0
P015076,J05,s2,s4,CBK041182,4.075055988741346,46.0
P015076,J05,s3,s5,CBK041182,4.097304881743808,51.0
P015076,J05,s4,s6,CBK041182,4.138588347054756,50.0
P015076,J05,s5,s8,CBK041182,4.192518544190918,42.0
P015076,D22,s2,s4,CBK201029,1.172364404326404,153.0
P015076,D22,s3,s5,CBK201029,0.8334940039085218,140.0
P015076,D22,s4,s6,CBK201029,1.0031575955787475,99.0
P015076,D22,s5,s8,CBK201029,1.4432898651357924,128.0
P015076,I06,s1,s2,CBK201029,0.8050969032850357,93.0
P015076,I06,s2,s4,CBK201029,0.5815543998975288,111.0
P015076,I06,s3,s5,CBK201029,0.7465159459216165,60.0
P015076,I06,s4,s6,CBK201029,0.5715336415841664,118.0
P015076,I06,s5,s8,CBK201029,1.1536982130319848,106.0
P015076,J18,s1,s2,CBK201029,1.3871633195290072,141.0
P015076,J18,s2,s4,CBK201029,0.5131213571632691,124.0
P015076,J18,s3,s5,CBK201029,0.619568385159852,127.0
P015076,J18,s5,s8,CBK201029,0.5603141101486395,128.0
P015076,H08,s1,s2,CBK200601,2.813536447810983,133.0
P015076,H08,s2,s4,CBK200601,2.5825934637582506,133.0
P015076,H08,s3,s5,CBK200601,2.628275043804936,183.0
P015076,H08,s4,s6,CBK200601,2.9409067415406804,108.0
P015076,H08,s5,s8,CBK200601,2.5081228007387235,108.0
P015076,I03,s1,s2,CBK200601,3.152947223007093,125.0
P015076,I03,s2,s4,CBK200601,3.257782384151634,126.0
P015076,I03,s3,s5,CBK200601,2.5333412076333572,145.0
P015076,I03,s4,s6,CBK200601,2.767876798027161,132.0
P015076,I03,s5,s8,CBK200601,3.0644324798868974,146.0
P015076,M06,s1,s2,CBK200601,3.1694930283660674,120.0
P015076,M06,s3,s5,CBK200601,3.0112084546063733,118.0
P015076,M06,s4,s6,CBK200601,3.0840223931259985,117.0
P015076,M06,s5,s8,CBK200601,2.657276363020921,149.0
P015076,B16,s3,s5,CBK277913,3.3993835076228924,145.0
P015076,B16,s4,s6,CBK277913,2.7673597872853053,124.0
P015076,B16,s5,s8,CBK277913,3.1593403183544377,116.0
P015076,C21,s1,s2,CBK277913,3.160868843507111,137.0
P015076,C21,s2,s4,CBK277913,2.8461880592536875,130.0
P015076,C21,s3,s5,CBK277913,3.0836850674114444,160.0
P015076,C21,s4,s6,CBK277913,3.210937423178069,155.0
P015076,C21,s5,s8,CBK277913,3.629009549602333,165.0
P015076,K10,s1,s2,CBK277913,2.762625345293782,122.0
P015076,K10,s2,s4,CBK277913,2.5163516446405936,86.0
P015076,K10,s3,s5,CBK277913,2.7256497528424606,108.0
P015076,K10,s4,s6,CBK277913,2.5476927277757158,111.0
P015076,K10,s5,s8,CBK277913,2.410213269370252,108.0
P015077,C07,s1,s2,CBK041182,3.541366952968195,28.0
P015077,C07,s2,s4,CBK041182,3.542762051337636,32.0
P015077,C07,s3,s5,CBK041182,3.6556155448657415,61.0
P015077,C07,s5,s8,CBK041182,3.684332750276561,77.0
P015077,M12,s1,s2,CBK041182,3.515921754881301,89.0
P015077,M12,s2,s4,CBK041182,3.450451145542582,37.0
P015077,M12,s3,s5,CBK041182,3.607901991368496,65.0
P015077,M12,s4,s6,CBK041182,3.5293409475376434,57.0
P015077,M12,s5,s8,CBK041182,3.3711415353848118,30.0
P015077,N15,s1,s2,CBK041182,3.610249898551793,91.0
P015077,N15,s2,s4,CBK041182,3.4247682000845945,28.0
P015077,N15,s3,s5,CBK041182,3.347928752338242,33.0
P015077,N15,s4,s6,CBK041182,3.5711778770302796,51.0
P015077,D16,s1,s2,CBK201029,1.3792541660322786,128.0
P015077,D16,s2,s4,CBK201029,0.6303680192019159,174.0
P015077,D16,s4,s6,CBK201029,0.9168561040962914,164.0
P015077,D16,s5,s8,CBK201029,0.12205018556641205,240.0
P015077,K12,s1,s2,CBK201029,0.5922887047432003,224.0
P015077,K12,s2,s4,CBK201029,1.037769798625947,181.0
P015077,K12,s4,s6,CBK201029,0.4037521824238943,231.0
P015077,K12,s5,s8,CBK201029,0.7860999268156745,162.0
P015077,O15,s1,s2,CBK201029,0.5537880358305387,210.0
P015077,O15,s2,s4,CBK201029,0.9353379042741032,66.0
P015077,O15,s3,s5,CBK201029,1.1986217107307862,76.0
P015077,O15,s4,s6,CBK201029,1.104962903653255,81.0
P015077,O15,s5,s8,CBK201029,1.0047563814375111,79.0
P015077,E12,s1,s2,CBK200601,2.2708609116473863,176.0
P015077,E12,s3,s5,CBK200601,2.493924685129988,194.0
P015077,H22,s1,s2,CBK200601,2.20702285882831,126.0
P015077,H22,s2,s4,CBK200601,1.5295307532442453,225.0
P015077,H22,s3,s5,CBK200601,2.593404125332576,129.0
P015077,H22,s4,s6,CBK200601,2.8719826713247247,119.0
P015077,H22,s5,s8,CBK200601,2.8936628357109035,119.0
P015077,I13,s1,s2,CBK277913,4.170211910743888,212.0
P015077,I13,s3,s5,CBK277913,4.1359519803396925,212.0
P015077,I13,s4,s6,CBK277913,3.5285025612355403,245.0
P015077,J20,s1,s2,CBK277913,4.205997976217264,236.0
P015077,J20,s2,s4,CBK277913,3.181263628371304,284.0
P015077,J20,s3,s5,CBK277913,4.230514891186326,200.0
P015077,J20,s4,s6,CBK277913,4.617751215380896,162.0
P015077,J20,s5,s8,CBK277913,4.286104171552829,199.0
P015077,K14,s1,s2,CBK277913,1.917838405477936,222.0
P015077,K14,s2,s4,CBK277913,2.510360205506061,188.0
P015077,K14,s3,s5,CBK277913,1.4888577628483155,210.0
P015077,K14,s5,s8,CBK277913,1.188053090633729,212.0
P015080,D16,s1,s2,CBK200949,3.747235995090082,51.0
P015080,D16,s2,s4,CBK200949,3.815049681696608,43.0
P015080,D16,s3,s5,CBK200949,3.731808918223938,79.0
P015080,D16,s4,s6,CBK200949,3.557473581522381,42.0
P015080,D16,s5,s8,CBK200949,3.7339341444571317,66.0
P015080,M23,s1,s2,CBK200949,3.6692047548026143,45.0
P015080,M23,s2,s4,CBK200949,3.777404857823541,55.0
P015080,M23,s3,s5,CBK200949,3.438349684138218,23.0
P015080,M23,s4,s6,CBK200949,3.855992780783249,29.0
P015080,M23,s5,s8,CBK200949,3.6649350501863007,33.0
P015080,N04,s1,s2,CBK200949,3.716095177506216,77.0
P015080,N04,s2,s4,CBK200949,3.791318994624045,43.0
P015080,N04,s3,s5,CBK200949,3.6925893995338885,21.0
P015080,N04,s5,s8,CBK200949,3.819039870043096,42.0
P015081,B12,s1,s2,CBK200949,3.6071185558820438,42.0
P015081,B12,s2,s4,CBK200949,3.638532293981358,58.0
P015081,B12,s3,s5,CBK200949,3.5563067575259177,48.0
P015081,B12,s4,s6,CBK200949,3.51642828600608,56.0
P015081,B12,s5,s8,CBK200949,3.5969494748817903,67.0
P015081,F08,s1,s2,CBK200949,3.5435923123953503,60.0
P015081,F08,s2,s4,CBK200949,3.6507226873949934,51.0
P015081,F08,s3,s5,CBK200949,3.682386485820076,67.0
P015081,F08,s4,s6,CBK200949,3.664662096623295,60.0
P015081,F08,s5,s8,CBK200949,3.7382875887493214,66.0
P015081,N19,s1,s2,CBK200949,3.5943620165023464,46.0
P015081,N19,s2,s4,CBK200949,3.605151947182436,46.0
P015081,N19,s3,s5,CBK200949,3.7127835781310536,43.0
P015081,N19,s4,s6,CBK200949,3.6422071496896375,48.0
P015081,N19,s5,s8,CBK200949,3.6520677801811923,47.0
P015082,I17,s1,s2,CBK200558,6.255979475061219,0.0
P015082,I17,s4,s6,CBK200558,5.58220674538981,0.0
P015082,L07,s3,s5,CBK200558,5.613950408661124,0.0
P015082,L07,s4,s6,CBK200558,5.496168920160999,0.0
P015082,L07,s5,s8,CBK200558,5.695191879143901,0.0
P015082,O22,s1,s2,CBK200558,5.536800392493506,1.0
P015082,O22,s2,s4,CBK200558,6.316742462659995,0.0
P015082,O22,s4,s6,CBK200558,6.2443464401686395,0.0
P015082,E08,s5,s8,CBK290538,2.517361141154157,22.0
P015082,L20,s3,s5,CBK290538,2.6304406568905345,10.0
P015082,L20,s5,s8,CBK290538,1.7328252716233032,4.0
P015082,M05,s3,s5,CBK290538,2.0487503452355407,2.0
P015083,B14,s1,s2,CBK200558,6.001921765782813,0.0
P015083,B14,s2,s4,CBK200558,5.94259339600246,0.0
P015083,B14,s3,s5,CBK200558,6.3133106860062425,0.0
P015083,B14,s5,s8,CBK200558,5.184062788659829,1.0
P015083,H20,s1,s2,CBK200558,5.885674368099536,0.0
P015083,H20,s2,s4,CBK200558,6.318190940289664,0.0
P015083,H20,s3,s5,CBK200558,6.466991810556077,0.0
P015083,H20,s4,s6,CBK200558,5.796787178486475,0.0
P015083,H20,s5,s8,CBK200558,6.545982718670799,0.0
P015083,N04,s2,s4,CBK200558,4.934765242818036,0.0
P015083,N04,s3,s5,CBK200558,5.171258327871589,1.0
P015083,N04,s5,s8,CBK200558,5.84339856108078,1.0
P015083,N19,s2,s4,CBK290538,4.3030817224286135,12.0
P015084,B05,s1,s2,CBK006628,0.7002342266765106,73.0
P015084,B05,s2,s4,CBK006628,0.7824469869177749,62.0
P015084,B05,s3,s5,CBK006628,1.33371856650681,78.0
P015084,B05,s5,s8,CBK006628,1.3753432327298012,137.0
P015084,C08,s2,s4,CBK006628,1.5345987319923486,74.0
P015084,C08,s5,s8,CBK006628,1.4955898262028282,144.0
P015084,K15,s1,s2,CBK006628,1.2319223103921828,87.0
P015084,K15,s2,s4,CBK006628,1.0974536424692791,117.0
P015084,K15,s3,s5,CBK006628,1.6895277688186274,117.0
P015084,K15,s4,s6,CBK006628,1.3523105235119632,120.0
P015084,K15,s5,s8,CBK006628,1.778460196359255,96.0
P015084,F16,s1,s2,CBK018513,1.615525370084776,123.0
P015084,F16,s2,s4,CBK018513,1.537387785563786,153.0
P015084,F16,s3,s5,CBK018513,1.2714858268169411,115.0
P015084,F16,s4,s6,CBK018513,2.0709381928459205,102.0
P015084,F16,s5,s8,CBK018513,1.8723844014724076,158.0
P015084,I10,s1,s2,CBK018513,1.3134451954781032,101.0
P015084,I10,s2,s4,CBK018513,0.5085855137181501,59.0
P015084,I10,s3,s5,CBK018513,1.1847916712084912,86.0
P015084,I10,s4,s6,CBK018513,1.7130918513289202,95.0
P015084,I10,s5,s8,CBK018513,1.3364904812556826,152.0
P015084,J11,s1,s2,CBK018513,1.6621073967150783,147.0
P015084,J11,s2,s4,CBK018513,1.6217033457916972,96.0
P015084,J11,s3,s5,CBK018513,1.459949529043255,150.0
P015084,J11,s4,s6,CBK018513,0.7616020729534032,109.0
P015084,J11,s5,s8,CBK018513,1.543298841582594,105.0
P015084,B15,s3,s5,CBK200551,3.573801807366792,15.0
P015084,K18,s3,s5,CBK200551,2.964784490878995,17.0
P015084,J21,s1,s2,CBK201011,1.1767670254813112,117.0
P015084,J21,s2,s4,CBK201011,1.1233603196968196,109.0
P015084,J21,s3,s5,CBK201011,1.1577706695292354,73.0
P015084,J21,s4,s6,CBK201011,1.31174762286712,99.0
P015084,J21,s5,s8,CBK201011,1.7905062538364107,122.0
P015084,L07,s1,s2,CBK201011,0.5581876072451015,152.0
P015084,L07,s2,s4,CBK201011,1.273500721201602,118.0
P015084,L07,s4,s6,CBK201011,0.13032245863126155,138.0
P015084,L07,s5,s8,CBK201011,1.0802974317511018,89.0
P015084,O04,s1,s2,CBK201011,1.1624638798142732,122.0
P015084,O04,s3,s5,CBK201011,1.0175084306436577,80.0
P015084,O04,s4,s6,CBK201011,1.5257061362505242,84.0
P015084,O04,s5,s8,CBK201011,1.0333197629906608,76.0
P015084,G05,s3,s5,CBK041779,0.5840378768230309,137.0
P015084,G05,s4,s6,CBK041779,0.8626448747266344,119.0
P015084,G05,s5,s8,CBK041779,0.9734780527827406,127.0
P015084,H16,s1,s2,CBK041779,1.374513208196404,127.0
P015084,H16,s2,s4,CBK041779,1.0503521990994873,165.0
P015084,H16,s3,s5,CBK041779,0.9030963924992635,140.0
P015084,H16,s4,s6,CBK041779,0.6180614206593673,136.0
P015084,H16,s5,s8,CBK041779,0.2857835035448347,126.0
P015084,M10,s2,s4,CBK041779,0.29333727603916954,55.0
P015084,M10,s3,s5,CBK041779,1.2621103149653932,74.0
P015084,M10,s4,s6,CBK041779,0.9532385811207704,66.0
P015084,M10,s5,s8,CBK041779,1.01355894460289,65.0
P015084,F19,s1,s2,CBK200716,1.532599612977251,145.0
P015084,F19,s2,s4,CBK200716,1.007867341908417,161.0
P015084,F19,s3,s5,CBK200716,1.2916941790498084,155.0
P015084,F19,s4,s6,CBK200716,1.147342533974364,116.0
P015084,F19,s5,s8,CBK200716,1.2756645111009308,99.0
P015084,G11,s1,s2,CBK200716,2.171014335547742,102.0
P015084,G11,s2,s4,CBK200716,0.8966005173834182,140.0
P015084,G11,s5,s8,CBK200716,1.084825741283172,115.0
P015084,L02,s1,s2,CBK200716,1.7145972587587082,73.0
P015084,L02,s3,s5,CBK200716,1.5682698367642125,90.0
P015084,L02,s4,s6,CBK200716,0.5369542864065231,148.0
P015084,L02,s5,s8,CBK200716,1.2437644145214608,60.0
P015084,F17,s1,s2,CBK290334,0.2825716462780572,145.0
P015084,F17,s2,s4,CBK290334,0.1518070600746204,165.0
P015084,F17,s3,s5,CBK290334,0.567026289689045,150.0
P015084,F17,s4,s6,CBK290334,1.2987244677130834,97.0
P015084,F17,s5,s8,CBK290334,1.1939108175730508,116.0
P015084,N22,s1,s2,CBK290334,1.322093838132821,113.0
P015084,N22,s2,s4,CBK290334,1.553135449438192,120.0
P015084,N22,s3,s5,CBK290334,1.131935964699013,109.0
P015084,N22,s4,s6,CBK290334,0.8914663781065425,74.0
P015084,N22,s5,s8,CBK290334,1.2756140912112142,59.0
P015084,O12,s1,s2,CBK290334,0.8947454503497247,128.0
P015084,O12,s2,s4,CBK290334,0.24266448427035198,76.0
P015084,O12,s3,s5,CBK290334,1.2704350062964949,75.0
P015084,O12,s4,s6,CBK290334,0.9055729244567264,90.0
P015084,O12,s5,s8,CBK290334,0.6935683645557134,68.0
P015084,B14,s1,s2,CBK290052,1.0432543884141503,106.0
P015084,B14,s2,s4,CBK290052,1.2921617486586634,105.0
P015084,B14,s3,s5,CBK290052,0.2354164991070034,157.0
P015084,B14,s4,s6,CBK290052,1.3715097509289853,122.0
P015084,B14,s5,s8,CBK290052,0.5232417721546552,148.0
P015084,K06,s2,s4,CBK290052,0.9798729994945437,95.0
P015084,K06,s3,s5,CBK290052,1.0225053591185764,90.0
P015084,K06,s4,s6,CBK290052,1.7469306399494984,154.0
P015084,K06,s5,s8,CBK290052,1.5144602962906686,118.0
P015084,M02,s1,s2,CBK290052,1.409372977437488,141.0
P015084,M02,s2,s4,CBK290052,0.8560062157741246,150.0
P015084,M02,s3,s5,CBK290052,0.29126141269734496,101.0
P015084,M02,s4,s6,CBK290052,0.9224080039809124,114.0
P015084,M02,s5,s8,CBK290052,0.29843926539894017,80.0
P015084,D08,s1,s2,CBK288288,0.877440567561189,125.0
P015084,D08,s2,s4,CBK288288,0.8207936901782464,126.0
P015084,D08,s3,s5,CBK288288,0.7568641786445953,171.0
P015084,D08,s4,s6,CBK288288,0.7957113545479659,124.0
P015084,D08,s5,s8,CBK288288,1.0583535914449098,118.0
P015084,K14,s2,s4,CBK288288,0.4672713876428586,120.0
P015084,K14,s3,s5,CBK288288,0.4216214917505203,156.0
P015084,K14,s4,s6,CBK288288,0.7088440734583215,180.0
