plate,well,site,compound,path,moa
bfmoalive57-AG-48h-P3-L2,G15,s5,c7,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_G15_s5_w123B80C4B-EEBD-421C-A3DE-70D208DD2F14.npy,HDAC inhibitor
bfmoalive57-AG-48h-P3-L2,H15,s2,c41,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_H15_s2_w18D60234A-5A29-4D61-A0C3-97B1341CFA83.npy,PARP inhibitor
bfmoalive57-AG-48h-P3-L2,O09,s5,c19,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_O09_s5_w1C8C4A911-A1C5-4900-9FB0-24447916A38E.npy,HDAC inhibitor
bfmoalive57-AG-48h-P3-L2,I10,s3,c49,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_I10_s3_w148CF0CD7-48B4-400A-8DEE-69C4F28AFDF9.npy,protein synthesis inhibitor
bfmoalive57-AG-48h-P3-L2,M16,s4,c45,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_M16_s4_w1A6155AC1-3BEA-4124-8E78-95A88910D6D2.npy,HDAC inhibitor
bfmoalive57-AG-48h-P3-L2,D02,s4,c7,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_D02_s4_w1830113CF-E390-4713-B52E-52319C391147.npy,HDAC inhibitor
bfmoalive57-AG-48h-P3-L2,F03,s2,c26,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_F03_s2_w1EB3620C0-7062-4C37-80A0-BA5930AD1678.npy,PARP inhibitor
bfmoalive57-AG-48h-P3-L2,K08,s4,c44,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_K08_s4_w134FAED98-3DDB-41C8-B2E8-F4A133858AC5.npy,HDAC inhibitor
bfmoalive57-AG-48h-P3-L2,J11,s1,c26,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_J11_s1_w16209EC48-2869-45CD-B61A-DEDDE03EF7C0.npy,PARP inhibitor
bfmoalive57-AG-48h-P3-L2,C05,s4,c10,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_C05_s4_w17B9B9C9D-642A-4215-A3F2-7FF00A5DB607.npy,protein synthesis inhibitor
bfmoalive57-AG-48h-P3-L2,B08,s4,c23,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_B08_s4_w113E19F73-260C-4602-BC00-94A9CCA3CC42.npy,PARP inhibitor
bfmoalive57-AG-48h-P3-L2,I11,s2,c51,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_I11_s2_w1EF6EB2F2-79C1-40F4-8E9F-3F683BE27CEE.npy,protein synthesis inhibitor
bfmoalive57-AG-48h-P3-L2,K06,s4,c51,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_K06_s4_w1D4831E81-3C60-4241-A3FF-1F8C414D0165.npy,protein synthesis inhibitor
bfmoalive57-AG-48h-P3-L2,N16,s5,c39,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_N16_s5_w1189F02E8-6684-45E8-B3FE-0EB7D2417BF8.npy,protein synthesis inhibitor
bfmoalive57-AG-48h-P3-L2,J13,s3,c1,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_J13_s3_w1BB62E672-ACFA-43C6-B032-4AA4762A119E.npy,protein synthesis inhibitor
bfmoalive57-AG-48h-P3-L2,I02,s1,c25,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_I02_s1_w12497561C-A2F9-41AC-B0AC-707721002122.npy,PARP inhibitor
bfmoalive57-AG-48h-P3-L2,G13,s5,c9,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_G13_s5_w1BAA40F65-90BF-4B97-82CC-46F59AA33267.npy,HDAC inhibitor
bfmoalive57-AG-48h-P3-L2,M12,s1,c5,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_M12_s1_w1CD577986-F979-45D6-8ACD-EED8B8ABB0F4.npy,HDAC inhibitor
bfmoalive57-AG-48h-P3-L2,E11,s5,c40,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_E11_s5_w1F617B852-91A3-42FA-BB66-62352B390B3E.npy,PARP inhibitor
bfmoalive57-AG-48h-P3-L2,K04,s5,c50,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_K04_s5_w1EAF10208-6EC1-4345-A55C-3EE38A0578EC.npy,PARP inhibitor
bfmoalive57-AG-48h-P3-L2,N20,s2,c34,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_N20_s2_w13C3F0850-1046-4EA9-BF72-D242E8AE88A8.npy,HDAC inhibitor
bfmoalive57-AG-48h-P3-L2,F12,s2,c45,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_F12_s2_w17D574192-7D2C-4F87-9A14-6F947B2F9C1F.npy,HDAC inhibitor
bfmoalive57-AG-48h-P3-L2,L02,s1,c44,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_L02_s1_w18E2386DB-38C2-4541-AFB3-4779C28D683F.npy,HDAC inhibitor
bfmoalive57-AG-48h-P3-L2,L04,s3,c25,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_L04_s3_w1C1AAC00D-A5C5-4ADE-B54C-806F752A39F1.npy,PARP inhibitor
bfmoalive57-AG-48h-P3-L2,E08,s4,c6,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_E08_s4_w14A1D7837-E854-467A-9C21-3103D6B59054.npy,HDAC inhibitor
bfmoalive57-AG-48h-P3-L2,I12,s2,c44,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_I12_s2_w11A40EEF2-52BD-4C1B-9174-41A67A0B0F08.npy,HDAC inhibitor
bfmoalive57-AG-48h-P3-L2,C18,s1,c37,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_C18_s1_w115EEB956-2F5C-484F-88CE-F602FEDAF1FF.npy,PARP inhibitor
bfmoalive57-AG-48h-P3-L2,E23,s5,c37,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_E23_s5_w13A5328B9-192B-4A2A-AEAF-9EA1A745C83A.npy,PARP inhibitor
bfmoalive57-AG-48h-P3-L2,M17,s3,c20,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_M17_s3_w17E1EB897-BA97-4A96-91D2-958E42DAE782.npy,PARP inhibitor
bfmoalive57-AG-48h-P3-L2,I11,s1,c51,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_I11_s1_w1B78FA0CA-CD15-45A6-9A7A-699D23991232.npy,protein synthesis inhibitor
bfmoalive57-AG-48h-P3-L2,L02,s4,c44,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_L02_s4_w1600D96EF-0D65-4FA1-A010-A9CDF61072F6.npy,HDAC inhibitor
bfmoalive57-AG-48h-P3-L2,N08,s2,c56,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_N08_s2_w1DF214BEF-8BF6-4C19-80D3-2D1B0918617F.npy,protein synthesis inhibitor
bfmoalive57-AG-48h-P3-L2,C23,s3,c6,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_C23_s3_w17000C04F-4E82-48EB-B7DD-DACBA203B02B.npy,HDAC inhibitor
bfmoalive57-AG-48h-P3-L2,H19,s1,c46,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_H19_s1_w18F9F7357-8037-459F-B8BE-D6AE73E3E54F.npy,PARP inhibitor
bfmoalive57-AG-48h-P3-L2,L11,s5,c48,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_L11_s5_w1B8050751-6956-4B88-A8CC-E56390A83620.npy,HDAC inhibitor
bfmoalive57-AG-48h-P3-L2,J13,s1,c1,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_J13_s1_w1036DC919-8DD6-4D6E-AC26-823A85CBC35D.npy,protein synthesis inhibitor
bfmoalive57-AG-48h-P3-L2,K17,s3,c34,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_K17_s3_w1EFDF4AD3-DF4E-4282-9168-51806098CB1B.npy,HDAC inhibitor
bfmoalive57-AG-48h-P3-L2,O06,s2,c37,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_O06_s2_w155376859-46E5-4877-AE34-F85EE1729A81.npy,PARP inhibitor
bfmoalive57-AG-48h-P3-L2,F21,s2,c54,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_F21_s2_w1BC7F19C6-60B2-449A-A7E9-5890F7431AF9.npy,protein synthesis inhibitor
bfmoalive57-AG-48h-P3-L2,O18,s2,c40,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_O18_s2_w129A3C5FA-D15E-4B3E-B6F6-13E9A71BEDD7.npy,PARP inhibitor
bfmoalive57-AG-48h-P3-L2,B13,s5,c26,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_B13_s5_w117EB9370-76C6-48A5-BEE7-C800E431292A.npy,PARP inhibitor
bfmoalive57-AG-48h-P3-L2,B02,s1,c47,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_B02_s1_w126152C31-5721-4542-9C95-F86D750ACB83.npy,HDAC inhibitor
bfmoalive57-AG-48h-P3-L2,C08,s2,c20,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_C08_s2_w17E7B7F1C-442F-4409-8DA9-D11F760EDD2F.npy,PARP inhibitor
