plate,well,site,compound,path,moa
P015076,F22,s1,CBK041854,/scratch2-shared/phil/new_moas_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_F22_s1_w6994A42BD-6AFA-4560-9B3D-9752B0A40DD9.npy,glucocorticoid receptor agonist
P015076,F22,s2,CBK041854,/scratch2-shared/phil/new_moas_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_F22_s2_w637868E75-F7F1-41A1-A2E5-07DD6A526E30.npy,glucocorticoid receptor agonist
P015076,F22,s3,CBK041854,/scratch2-shared/phil/new_moas_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_F22_s3_w668B36CC8-09E9-48AC-AA31-3526C327B1AB.npy,glucocorticoid receptor agonist
P015076,F22,s4,CBK041854,/scratch2-shared/phil/new_moas_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_F22_s4_w6C321B958-EAA6-4EDB-9FF3-7249255E28B1.npy,glucocorticoid receptor agonist
P015076,F22,s5,CBK041854,/scratch2-shared/phil/new_moas_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_F22_s5_w6AF622B2F-BC05-4033-A6B8-CF892463289F.npy,glucocorticoid receptor agonist
P015076,H12,s1,CBK307994,/scratch2-shared/phil/new_moas_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_H12_s1_w67DFE6CFA-FC32-4995-9F8A-8AFFE2C7E6B7.npy,glucocorticoid receptor agonist
P015076,H12,s2,CBK307994,/scratch2-shared/phil/new_moas_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_H12_s2_w66CFA94B8-6F62-4512-B3E7-637C0187C9A8.npy,glucocorticoid receptor agonist
P015076,H12,s3,CBK307994,/scratch2-shared/phil/new_moas_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_H12_s3_w66FBB53C9-EA6D-4414-9011-C692AF138EAD.npy,glucocorticoid receptor agonist
P015076,H12,s4,CBK307994,/scratch2-shared/phil/new_moas_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_H12_s4_w6FB938C98-E0E1-47E7-9B13-447EC324AA9D.npy,glucocorticoid receptor agonist
P015076,H12,s5,CBK307994,/scratch2-shared/phil/new_moas_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_H12_s5_w6CA0A8652-9D5D-42CF-AC1C-8372A274E2E2.npy,glucocorticoid receptor agonist
P015076,H20,s1,CBK041854,/scratch2-shared/phil/new_moas_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_H20_s1_w6868D021A-1B29-44FA-9044-C7E43734C6A0.npy,glucocorticoid receptor agonist
P015076,H20,s2,CBK041854,/scratch2-shared/phil/new_moas_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_H20_s2_w6886DD9B1-9D07-460D-9FB1-CCFB9FB0D56D.npy,glucocorticoid receptor agonist
P015076,H20,s3,CBK041854,/scratch2-shared/phil/new_moas_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_H20_s3_w663993303-3A74-436E-8945-C3A91D836280.npy,glucocorticoid receptor agonist
P015076,H20,s4,CBK041854,/scratch2-shared/phil/new_moas_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_H20_s4_w6DDA86550-D3BB-41A7-B322-3202BC214A82.npy,glucocorticoid receptor agonist
P015076,H20,s5,CBK041854,/scratch2-shared/phil/new_moas_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_H20_s5_w6722B2085-6616-44D2-BB9E-0C3DADFE4FF7.npy,glucocorticoid receptor agonist
P015076,J21,s1,CBK041854,/scratch2-shared/phil/new_moas_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_J21_s1_w61887AFC1-025F-411B-8DFE-C725A7353EE2.npy,glucocorticoid receptor agonist
P015076,J21,s2,CBK041854,/scratch2-shared/phil/new_moas_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_J21_s2_w65BE1A18B-08F0-40DA-83E8-74DC1BE11A77.npy,glucocorticoid receptor agonist
P015076,J21,s3,CBK041854,/scratch2-shared/phil/new_moas_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_J21_s3_w65FFB10F7-30F8-4BF3-ABE7-3CAB647E7A5B.npy,glucocorticoid receptor agonist
P015076,J21,s4,CBK041854,/scratch2-shared/phil/new_moas_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_J21_s4_w6CB950454-2B69-4D1F-907B-899CD3C4C68F.npy,glucocorticoid receptor agonist
P015076,J21,s5,CBK041854,/scratch2-shared/phil/new_moas_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_J21_s5_w6D50718F8-5A34-42C9-99CC-321BDFEB2D20.npy,glucocorticoid receptor agonist
P015076,K05,s1,CBK307994,/scratch2-shared/phil/new_moas_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_K05_s1_w6907FD970-96AA-4DBE-B179-B4C9857E9F1C.npy,glucocorticoid receptor agonist
P015076,K05,s2,CBK307994,/scratch2-shared/phil/new_moas_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_K05_s2_w6E27D5ACF-E8D8-4193-8212-6CE1A708A03B.npy,glucocorticoid receptor agonist
P015076,K05,s3,CBK307994,/scratch2-shared/phil/new_moas_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_K05_s3_w653B45324-33E3-4F09-B67C-7BF02D9DCD53.npy,glucocorticoid receptor agonist
P015076,K05,s4,CBK307994,/scratch2-shared/phil/new_moas_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_K05_s4_w65E0BC65F-CE4D-4B28-A8B4-1276C5D894F4.npy,glucocorticoid receptor agonist
P015076,K05,s5,CBK307994,/scratch2-shared/phil/new_moas_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_K05_s5_w635117D1D-53F1-4103-A7D3-BBAE6E64EA36.npy,glucocorticoid receptor agonist
P015076,M15,s1,CBK307994,/scratch2-shared/phil/new_moas_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_M15_s1_w64AD038BD-4847-4DDF-84A4-98300DD29AD5.npy,glucocorticoid receptor agonist
P015076,M15,s2,CBK307994,/scratch2-shared/phil/new_moas_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_M15_s2_w6B46F92FE-CA36-4ED1-BE51-7FD746A36934.npy,glucocorticoid receptor agonist
P015076,M15,s3,CBK307994,/scratch2-shared/phil/new_moas_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_M15_s3_w6D8D61080-9234-4C2C-BA31-418707BCF8F5.npy,glucocorticoid receptor agonist
P015076,M15,s4,CBK307994,/scratch2-shared/phil/new_moas_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_M15_s4_w6143362A6-913A-48F0-8995-38A29ADD1D7E.npy,glucocorticoid receptor agonist
P015076,M15,s5,CBK307994,/scratch2-shared/phil/new_moas_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_M15_s5_w669C16C51-5089-46E5-B902-DFCE36D28686.npy,glucocorticoid receptor agonist
P015077,C05,s1,CBK041854,/scratch2-shared/phil/new_moas_numpy_data/bf/specs935-v1-FA-P015077-U2OS-48h-P1-L2-TL_C05_s1_w6C172B04C-9CE1-4F96-9281-8F54D28C8FA0.npy,glucocorticoid receptor agonist
P015077,C05,s2,CBK041854,/scratch2-shared/phil/new_moas_numpy_data/bf/specs935-v1-FA-P015077-U2OS-48h-P1-L2-TL_C05_s2_w6BD40BBC7-0260-43E8-85BC-2A3B0FADB47B.npy,glucocorticoid receptor agonist
P015077,C05,s3,CBK041854,/scratch2-shared/phil/new_moas_numpy_data/bf/specs935-v1-FA-P015077-U2OS-48h-P1-L2-TL_C05_s3_w6BAB4B1EE-720F-4ABA-8626-6957A9A35C6B.npy,glucocorticoid receptor agonist
P015077,C05,s4,CBK041854,/scratch2-shared/phil/new_moas_numpy_data/bf/specs935-v1-FA-P015077-U2OS-48h-P1-L2-TL_C05_s4_w6B7E51EC9-D4E5-4C5F-820F-3F2030A5619D.npy,glucocorticoid receptor agonist
P015077,C05,s5,CBK041854,/scratch2-shared/phil/new_moas_numpy_data/bf/specs935-v1-FA-P015077-U2OS-48h-P1-L2-TL_C05_s5_w659ED54E3-F624-49C7-8089-305150ACF37C.npy,glucocorticoid receptor agonist
P015077,E20,s1,CBK041854,/scratch2-shared/phil/new_moas_numpy_data/bf/specs935-v1-FA-P015077-U2OS-48h-P1-L2-TL_E20_s1_w691A153B0-7DDB-403E-B71A-7ECB743541E7.npy,glucocorticoid receptor agonist
P015077,E20,s2,CBK041854,/scratch2-shared/phil/new_moas_numpy_data/bf/specs935-v1-FA-P015077-U2OS-48h-P1-L2-TL_E20_s2_w6FE8C44A9-497D-4A6F-B330-60C577850ED8.npy,glucocorticoid receptor agonist
P015077,E20,s3,CBK041854,/scratch2-shared/phil/new_moas_numpy_data/bf/specs935-v1-FA-P015077-U2OS-48h-P1-L2-TL_E20_s3_w6C18D6B89-0B14-4601-BFAB-6DD4B6CDCDD2.npy,glucocorticoid receptor agonist
P015077,E20,s4,CBK041854,/scratch2-shared/phil/new_moas_numpy_data/bf/specs935-v1-FA-P015077-U2OS-48h-P1-L2-TL_E20_s4_w6C8EB6169-CC23-401C-AEA9-FC674D1E7774.npy,glucocorticoid receptor agonist
P015077,E20,s5,CBK041854,/scratch2-shared/phil/new_moas_numpy_data/bf/specs935-v1-FA-P015077-U2OS-48h-P1-L2-TL_E20_s5_w6574F2043-709D-45B4-9D4D-560B48327BF1.npy,glucocorticoid receptor agonist
P015077,F13,s1,CBK307994,/scratch2-shared/phil/new_moas_numpy_data/bf/specs935-v1-FA-P015077-U2OS-48h-P1-L2-TL_F13_s1_w696B286ED-F6C2-402F-92C4-728F585A0245.npy,glucocorticoid receptor agonist
P015077,F13,s2,CBK307994,/scratch2-shared/phil/new_moas_numpy_data/bf/specs935-v1-FA-P015077-U2OS-48h-P1-L2-TL_F13_s2_w6AA9EA97F-A761-44FA-AC64-B4111D6A38DB.npy,glucocorticoid receptor agonist
P015077,F13,s3,CBK307994,/scratch2-shared/phil/new_moas_numpy_data/bf/specs935-v1-FA-P015077-U2OS-48h-P1-L2-TL_F13_s3_w61EB21B47-A612-4F6A-9A8E-FCB9BE852995.npy,glucocorticoid receptor agonist
P015077,F13,s4,CBK307994,/scratch2-shared/phil/new_moas_numpy_data/bf/specs935-v1-FA-P015077-U2OS-48h-P1-L2-TL_F13_s4_w619BB93F3-E5D4-4792-99C3-1EA1516B7895.npy,glucocorticoid receptor agonist
P015077,F13,s5,CBK307994,/scratch2-shared/phil/new_moas_numpy_data/bf/specs935-v1-FA-P015077-U2OS-48h-P1-L2-TL_F13_s5_w6EE2971BF-C2D5-4E10-B6C0-E8FF9E3AF6AA.npy,glucocorticoid receptor agonist
P015077,G05,s1,CBK307994,/scratch2-shared/phil/new_moas_numpy_data/bf/specs935-v1-FA-P015077-U2OS-48h-P1-L2-TL_G05_s1_w69FD4D9F2-BBDB-4577-B96D-67A2766A0C73.npy,glucocorticoid receptor agonist
P015077,G05,s2,CBK307994,/scratch2-shared/phil/new_moas_numpy_data/bf/specs935-v1-FA-P015077-U2OS-48h-P1-L2-TL_G05_s2_w694AD35E3-E540-4E84-B328-C6D5DE89E9EE.npy,glucocorticoid receptor agonist
P015077,G05,s3,CBK307994,/scratch2-shared/phil/new_moas_numpy_data/bf/specs935-v1-FA-P015077-U2OS-48h-P1-L2-TL_G05_s3_w68F9078B9-12AC-4998-9971-3E9FE654E6F0.npy,glucocorticoid receptor agonist
P015077,G05,s4,CBK307994,/scratch2-shared/phil/new_moas_numpy_data/bf/specs935-v1-FA-P015077-U2OS-48h-P1-L2-TL_G05_s4_w689E12198-A255-4F4C-B3FF-55D73111E4CE.npy,glucocorticoid receptor agonist
