plate,well,site,bf_site,compound,path,moa
P015076,F22,s2,s1,CBK041854,/scratch2-shared/phil/new_moas_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_F22_s2_w5A7F4C54C-FE9B-49DC-827D-FB70B957CA58.npy,glucocorticoid receptor agonist
P015076,F22,s4,s2,CBK041854,/scratch2-shared/phil/new_moas_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_F22_s4_w53F16F4C5-E2E2-4E50-A114-8E47F4B90538.npy,glucocorticoid receptor agonist
P015076,F22,s5,s3,CBK041854,/scratch2-shared/phil/new_moas_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_F22_s5_w59361D595-2804-453C-8F6D-F7BB085E8F87.npy,glucocorticoid receptor agonist
P015076,F22,s6,s4,CBK041854,/scratch2-shared/phil/new_moas_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_F22_s6_w5D4765DFC-84B2-40A8-BF85-CCBC66A0CD6B.npy,glucocorticoid receptor agonist
P015076,F22,s8,s5,CBK041854,/scratch2-shared/phil/new_moas_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_F22_s8_w56C57E84F-9C29-4E5A-9559-B1E673A9534D.npy,glucocorticoid receptor agonist
P015076,H12,s2,s1,CBK307994,/scratch2-shared/phil/new_moas_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_H12_s2_w5AEB55B39-1CFB-4F77-9AF3-50A87C911D67.npy,glucocorticoid receptor agonist
P015076,H12,s4,s2,CBK307994,/scratch2-shared/phil/new_moas_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_H12_s4_w574EF4DFD-DE79-47FB-A82B-083ABD51E5A4.npy,glucocorticoid receptor agonist
P015076,H12,s5,s3,CBK307994,/scratch2-shared/phil/new_moas_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_H12_s5_w5CEC36E16-5CD5-4EF3-8D26-500D74C55DFA.npy,glucocorticoid receptor agonist
P015076,H12,s6,s4,CBK307994,/scratch2-shared/phil/new_moas_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_H12_s6_w54A260867-89B0-43B4-886C-6E4574F23722.npy,glucocorticoid receptor agonist
P015076,H12,s8,s5,CBK307994,/scratch2-shared/phil/new_moas_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_H12_s8_w5DE6F0626-7FB8-4AFC-AC6B-57499D36C47B.npy,glucocorticoid receptor agonist
P015076,H20,s2,s1,CBK041854,/scratch2-shared/phil/new_moas_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_H20_s2_w5804D9800-527C-44CD-965B-906E103D4BCF.npy,glucocorticoid receptor agonist
P015076,H20,s4,s2,CBK041854,/scratch2-shared/phil/new_moas_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_H20_s4_w5441B2FB4-A183-40E0-A94E-1B23B2DE2D1C.npy,glucocorticoid receptor agonist
P015076,H20,s5,s3,CBK041854,/scratch2-shared/phil/new_moas_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_H20_s5_w568FB26D6-FDCE-4354-AA50-132D78937222.npy,glucocorticoid receptor agonist
P015076,H20,s6,s4,CBK041854,/scratch2-shared/phil/new_moas_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_H20_s6_w502AC098D-B62E-425C-9C89-F4B291FBDAC8.npy,glucocorticoid receptor agonist
P015076,H20,s8,s5,CBK041854,/scratch2-shared/phil/new_moas_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_H20_s8_w5AB117CBE-53D0-43E0-8F41-90918BFAFBBD.npy,glucocorticoid receptor agonist
P015076,J21,s2,s1,CBK041854,/scratch2-shared/phil/new_moas_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_J21_s2_w549FE5D7F-C57B-49EE-A60B-3926F7C73DE1.npy,glucocorticoid receptor agonist
P015076,J21,s4,s2,CBK041854,/scratch2-shared/phil/new_moas_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_J21_s4_w5257475F9-4CEA-4930-ACEA-08F58CDED4E4.npy,glucocorticoid receptor agonist
P015076,J21,s5,s3,CBK041854,/scratch2-shared/phil/new_moas_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_J21_s5_w5ACAD0ECD-AB92-457D-9046-4EF8D6F1D57F.npy,glucocorticoid receptor agonist
P015076,J21,s6,s4,CBK041854,/scratch2-shared/phil/new_moas_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_J21_s6_w57A2B4B3A-D86E-4D9A-9786-D940DF3E5347.npy,glucocorticoid receptor agonist
P015076,J21,s8,s5,CBK041854,/scratch2-shared/phil/new_moas_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_J21_s8_w5842448DF-C585-4ED6-8E4D-987DC3C6D1BD.npy,glucocorticoid receptor agonist
P015076,K05,s2,s1,CBK307994,/scratch2-shared/phil/new_moas_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_K05_s2_w5DAF0CB08-5FA0-4021-B7F6-2C02D43B2004.npy,glucocorticoid receptor agonist
P015076,K05,s4,s2,CBK307994,/scratch2-shared/phil/new_moas_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_K05_s4_w561284328-1FB8-4C38-8C48-DE2E9C62AC81.npy,glucocorticoid receptor agonist
P015076,K05,s5,s3,CBK307994,/scratch2-shared/phil/new_moas_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_K05_s5_w573145BCA-0710-4935-817B-4D97772022FA.npy,glucocorticoid receptor agonist
P015076,K05,s6,s4,CBK307994,/scratch2-shared/phil/new_moas_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_K05_s6_w5AD44F711-0E5C-4372-805D-A0656685F333.npy,glucocorticoid receptor agonist
P015076,K05,s8,s5,CBK307994,/scratch2-shared/phil/new_moas_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_K05_s8_w541F36FDD-8970-4934-B350-3DD483C00511.npy,glucocorticoid receptor agonist
P015076,M15,s2,s1,CBK307994,/scratch2-shared/phil/new_moas_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_M15_s2_w576EE95CA-7706-43E0-9A10-D25FDBEEE078.npy,glucocorticoid receptor agonist
P015076,M15,s4,s2,CBK307994,/scratch2-shared/phil/new_moas_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_M15_s4_w5183CFA3C-65A4-4285-842F-33D6164EFDA0.npy,glucocorticoid receptor agonist
P015076,M15,s5,s3,CBK307994,/scratch2-shared/phil/new_moas_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_M15_s5_w5461EFD9E-446B-4163-A764-5C34DBDD0331.npy,glucocorticoid receptor agonist
P015076,M15,s6,s4,CBK307994,/scratch2-shared/phil/new_moas_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_M15_s6_w59C13EDFC-1CF4-424A-A6E7-6D7615F4C98E.npy,glucocorticoid receptor agonist
P015076,M15,s8,s5,CBK307994,/scratch2-shared/phil/new_moas_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_M15_s8_w507CE2DA6-23D1-48AD-A7AF-C5F8E6BE30C6.npy,glucocorticoid receptor agonist
P015077,C05,s2,s1,CBK041854,/scratch2-shared/phil/new_moas_numpy_data/fl/specs935-v1-FA-P015077-U2OS-48h-P1-L2_C05_s2_w545E288D0-6B38-4ECE-A7A0-714E97C416ED.npy,glucocorticoid receptor agonist
P015077,C05,s4,s2,CBK041854,/scratch2-shared/phil/new_moas_numpy_data/fl/specs935-v1-FA-P015077-U2OS-48h-P1-L2_C05_s4_w5CD1DBF14-4703-42AB-A732-95206DB7D28F.npy,glucocorticoid receptor agonist
P015077,C05,s5,s3,CBK041854,/scratch2-shared/phil/new_moas_numpy_data/fl/specs935-v1-FA-P015077-U2OS-48h-P1-L2_C05_s5_w58C7294C2-EF5E-4F0B-A80A-350145C8BAFC.npy,glucocorticoid receptor agonist
P015077,C05,s6,s4,CBK041854,/scratch2-shared/phil/new_moas_numpy_data/fl/specs935-v1-FA-P015077-U2OS-48h-P1-L2_C05_s6_w59881274D-F93E-49D0-9C95-78C9A2FFB961.npy,glucocorticoid receptor agonist
P015077,C05,s8,s5,CBK041854,/scratch2-shared/phil/new_moas_numpy_data/fl/specs935-v1-FA-P015077-U2OS-48h-P1-L2_C05_s8_w57C8D7D22-3AA0-4B67-ABCD-8B26F5C4F768.npy,glucocorticoid receptor agonist
P015077,E20,s2,s1,CBK041854,/scratch2-shared/phil/new_moas_numpy_data/fl/specs935-v1-FA-P015077-U2OS-48h-P1-L2_E20_s2_w578591856-EE36-4CA3-ABEA-70340C161B8B.npy,glucocorticoid receptor agonist
