plate,well,path,nuclei,C1,C2,C3,C4,C5,C6
P015076,B23,/mnt/micro-images-pvc/jonne/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL/2022-02-28/952,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_B23_s1_w1C3262702-1466-40B7-9B6E-01F089189D10.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_B23_s1_w2283ED3FE-656A-47C6-8E0E-8D30148AD2F6.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_B23_s1_w34FDBAE03-C492-48E2-95C7-9B80236AD9BE.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_B23_s1_w4C34FB5BD-EE9A-478A-9EEE-E6926993331A.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_B23_s1_w5728C9F8B-20CF-4124-AB40-BEEF9A8B6568.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_B23_s1_w6197F62CF-BFEF-41A5-A3D6-CFDFD8C8D999.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_B23_s1_w747473471-A3C9-479D-A91E-6F19B5A18ED5.tif
P015076,B23,/mnt/micro-images-pvc/jonne/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL/2022-02-28/952,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_B23_s2_w1767A1C6B-A8F6-4BDC-90CD-A06D19F8DFCD.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_B23_s2_w2E5B3F48D-1280-4B94-AB28-4C1C96B570F3.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_B23_s2_w3A2D17E42-DF9B-40C6-B2D4-49CC8983FC86.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_B23_s2_w4ACAD1E54-44A0-41B4-9373-E42FC748E039.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_B23_s2_w502EEBDA2-2E0B-440C-8689-462CFE474C57.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_B23_s2_w6A8964257-F0B4-4DC5-8742-5C34BAC1198D.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_B23_s2_w7E730B598-41AF-42F1-ACD8-C0780369FD1D.tif
P015076,B23,/mnt/micro-images-pvc/jonne/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL/2022-02-28/952,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_B23_s3_w1F00BFFDE-1410-4F9B-B18E-4344A7D0F595.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_B23_s3_w2FDAB8949-30C0-4D51-8F9B-A2089641869D.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_B23_s3_w3B8EE63EC-1CA3-4989-9CB1-7C4075F81ABE.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_B23_s3_w4332E4043-2F6F-481F-A39B-0B4B51B8A739.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_B23_s3_w5CF40A8D7-2040-48CC-83C5-3B57C707DE0D.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_B23_s3_w6F6187C2A-3351-4ACB-98AC-6B3C83AF034A.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_B23_s3_w7DA453DE5-DBCD-459A-A42A-C5ABD6141D09.tif
P015076,B23,/mnt/micro-images-pvc/jonne/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL/2022-02-28/952,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_B23_s4_w1912931AF-0D91-4ED4-9098-C5E06F401B89.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_B23_s4_w24B8162FF-2C4E-4AF4-90C6-D1176A9CF13A.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_B23_s4_w35D136B29-F378-478B-8FFD-ED25E07FB530.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_B23_s4_w49AF61E83-0DA5-43FE-8A8C-76BC59F0F756.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_B23_s4_w52AD1A8A3-5F77-4161-A0FD-CE38C14E8915.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_B23_s4_w6E333CC6B-B0E2-493F-B455-0EEC48A668F3.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_B23_s4_w78C4D9475-9008-478A-B5D3-1DDCFD1AF05C.tif
P015076,B23,/mnt/micro-images-pvc/jonne/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL/2022-02-28/952,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_B23_s5_w1918A52E9-45C8-414F-8975-46D4DAF55D2D.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_B23_s5_w2390A1C89-CFED-4AE0-A3F6-9C9F1D7300ED.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_B23_s5_w3E1C58E8F-5F90-49BC-96E1-99B462D8EE25.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_B23_s5_w43E36476E-A3A1-4C47-8C63-327DC1FF35CC.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_B23_s5_w5E8D2DEA2-AC9B-41F5-AC95-B99AFDEDA379.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_B23_s5_w63F462BB7-C3BA-4BCB-B2EC-AA104CFEFDCC.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_B23_s5_w73DA18B15-BD35-4BB7-A83A-DFB864EE9FA6.tif
P015076,C06,/mnt/micro-images-pvc/jonne/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL/2022-02-28/952,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_C06_s1_w171B75B76-CC80-47D1-BAE7-F08165AC7669.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_C06_s1_w26A3285EC-4A80-4953-9F10-DC795E58526A.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_C06_s1_w33DD92223-F0D9-4BA5-929B-9D1F77609CE3.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_C06_s1_w4E8ED28A8-EFAB-4415-9965-FFF673236C0D.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_C06_s1_w59547CFD2-0421-45D8-A7DC-53DA119DEFFF.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_C06_s1_w6BCECE400-741B-481C-A766-060EE7BE3F85.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_C06_s1_w77CA0C404-2901-41B6-851A-0D33C4791848.tif
P015076,C06,/mnt/micro-images-pvc/jonne/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL/2022-02-28/952,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_C06_s2_w1F85D44BD-13CB-457F-B0B3-F1E595404E2A.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_C06_s2_w2E4D60710-6CEA-40FB-A3DA-927A94ABFAFC.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_C06_s2_w39DEBFF4F-8A20-48FD-89BC-A1554EF1EE9C.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_C06_s2_w4CCEC6F47-A799-4848-A1DF-DAB68FB3B7C4.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_C06_s2_w5E055594C-03CF-4046-996B-F0CF9C17BE06.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_C06_s2_w6E39DE441-CCF5-4799-BAAD-1DAEE0C4C99E.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_C06_s2_w776F0DEFE-9E40-4104-BC7B-EC1B07EE108A.tif
P015076,C06,/mnt/micro-images-pvc/jonne/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL/2022-02-28/952,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_C06_s3_w1EA53FD1A-6AA5-45BD-847A-E166DC910463.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_C06_s3_w22985AC42-60B6-499F-B288-8C67AAA26985.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_C06_s3_w335457549-0372-4DD3-AF80-6FB7BE04A8F1.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_C06_s3_w4CC679139-29DF-4FE4-AEE3-81AC9AD7E29F.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_C06_s3_w5904DCF55-AD20-4254-925F-F7708A4E381B.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_C06_s3_w6AAA13D19-2AF5-4330-9B56-3446E2964619.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_C06_s3_w7D4DF3DD1-41D9-4CB8-AF26-4C2D5204F099.tif
P015076,C06,/mnt/micro-images-pvc/jonne/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL/2022-02-28/952,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_C06_s4_w1442C082D-440F-4A42-91C4-B061D7D187FE.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_C06_s4_w28AAA7D51-5300-4413-80EC-DE9865AD4B3E.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_C06_s4_w3A9FCA6F8-3E6A-475B-9C38-220744B36B21.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_C06_s4_w44EC3166D-B478-4FA3-8C22-E846CF21291C.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_C06_s4_w59FF5F655-81F8-4A75-9AE6-C13CD096AB4B.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_C06_s4_w6E0DA80F0-AA78-41A5-BA8D-8B6D2214D008.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_C06_s4_w7B74AA710-3007-420A-B4C2-B88365049A61.tif
P015076,C06,/mnt/micro-images-pvc/jonne/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL/2022-02-28/952,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_C06_s5_w16888FA0D-9870-4019-A5C1-CF2422D61CC2.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_C06_s5_w240E8D4F3-402A-4BDF-949A-87238D04EEEC.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_C06_s5_w3C634E6A6-D3A5-4FB2-AC53-2B0B9838409E.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_C06_s5_w4683792D4-4635-4433-B846-A5B3DF0D3BAE.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_C06_s5_w58D0E3E18-71EF-4CB9-9E2B-08E89B516EDF.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_C06_s5_w60C72C571-D8DA-4ABA-B0B0-C88E22773E65.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_C06_s5_w714A9BCA4-413A-4BAC-B7F8-CB7514C340A6.tif
