plate,compound,mean_C1,std_C1,median_C1,mad_C1,mean_C2,std_C2,median_C2,mad_C2,mean_C3,std_C3,median_C3,mad_C3,mean_C4,std_C4,median_C4,mad_C4,mean_C5,std_C5,median_C5,mad_C5,mean_C6,std_C6,median_C6,mad_C6
P015076,CBK041182,10651.968,1103.9905,10755.0,819.0,10652.908,1097.595,10756.0,813.0,10652.847,1094.3992,10756.0,810.0,10650.492,1097.5082,10753.0,814.0,10650.338,1101.6188,10752.0,818.0,10649.551,1099.3109,10750.0,814.0
P015076,CBK200601,12162.485,938.3724,12095.0,597.0,12161.874,929.00995,12090.0,591.0,12160.377,926.03876,12086.0,590.0,12157.773,929.41534,12082.0,592.0,12156.684,933.18805,12081.0,595.0,12155.848,933.5104,12080.0,595.0
P015076,CBK201029,12057.975,1549.2717,12007.0,1245.0,12055.369,1547.1013,12002.0,1246.0,12055.125,1545.5492,11999.0,1249.0,12051.605,1544.7062,11995.0,1251.0,12050.1455,1547.3528,11993.0,1251.0,12050.965,1551.033,11991.0,1253.0
P015076,CBK277913,11678.126,1362.7246,11438.0,913.0,11677.758,1356.4973,11436.0,915.0,11676.506,1350.3541,11433.0,912.0,11673.402,1350.68,11428.0,909.0,11672.307,1353.8346,11428.0,912.0,11673.3125,1354.2587,11431.0,913.0
P015076,dmso,10243.631,1079.366,10209.0,824.0,10243.677,1073.8676,10207.0,819.0,10241.54,1073.0302,10204.0,819.0,10241.287,1075.6317,10205.0,822.0,10238.955,1077.0801,10202.0,822.0,10239.227,1078.6659,10202.0,823.0
P015076,plate,11124.054,1452.624,11080.0,996.0,11123.607,1447.7034,11080.0,994.0,11122.408,1445.8201,11078.0,992.0,11120.564,1446.4934,11075.0,991.0,11119.046,1448.8822,11072.0,993.0,11119.056,1449.7864,11073.0,992.0
P015077,CBK041182,11741.893,1192.2045,11920.0,893.0,11741.038,1188.6167,11917.0,893.0,11740.011,1187.1224,11918.0,892.0,11738.459,1187.5667,11917.0,891.0,11737.271,1189.2051,11915.0,891.0,11742.834,1198.2965,11919.0,895.0
P015077,CBK200601,10601.38,1153.1659,10592.0,909.0,10608.635,1159.054,10594.0,900.0,10604.73,1155.7971,10594.0,902.0,10606.55,1154.2086,10591.0,899.0,10609.992,1150.7435,10590.0,895.0,10607.168,1149.9014,10586.0,899.0
P015077,CBK201029,12684.267,1427.2657,12875.0,1127.0,12688.956,1424.227,12893.0,1126.0,12682.061,1417.4478,12879.0,1124.0,12680.873,1419.1749,12874.0,1124.0,12684.948,1429.6669,12871.0,1126.0,12688.853,1438.2343,12871.0,1127.0
P015077,CBK277913,12103.281,1007.7133,12082.0,713.0,12100.75,993.0222,12081.0,705.0,12094.61,983.8427,12076.0,697.0,12086.174,989.5868,12063.0,692.0,12081.137,994.2409,12057.0,692.0,12082.61,998.5097,12055.0,693.0
P015077,dmso,10941.897,1420.1324,10730.0,965.0,10940.602,1413.1149,10727.0,951.0,10938.372,1413.0853,10724.0,960.0,10936.954,1414.4824,10724.0,963.0,10935.682,1416.8975,10723.0,964.0,10935.919,1417.1625,10728.0,965.0
P015077,plate,11472.989,1479.5577,11410.0,1097.0,11473.825,1475.2296,11407.0,1097.0,11470.194,1471.9352,11405.0,1094.0,11468.128,1472.4171,11401.0,1091.0,11467.959,1475.1627,11399.0,1090.0,11469.317,1479.077,11399.0,1091.0
P015080,CBK200949,11271.278,816.8815,11315.0,550.0,11277.277,809.37585,11322.0,541.0,11275.344,805.11725,11317.0,538.0,11271.488,806.1217,11311.0,544.0,11269.642,809.14496,11309.0,547.0,11266.833,810.7696,11306.0,547.0
P015080,dmso,10571.867,701.9543,10638.0,502.0,10561.835,698.3415,10631.0,499.0,10561.155,699.38354,10639.0,494.0,10561.605,702.667,10638.0,494.0,10559.029,707.04144,10633.0,497.0,10556.807,708.09424,10630.0,498.0
P015080,plate,10991.516,845.4975,11021.0,574.0,10991.1045,843.1942,11022.0,572.0,10989.708,840.8256,11020.0,566.0,10987.522,841.62946,11014.0,568.0,10985.402,844.97614,11011.0,572.0,10982.846,846.14056,11009.0,572.0
P015081,CBK200949,11040.937,1636.1697,11254.0,1289.0,11038.419,1633.6472,11265.0,1290.0,11035.464,1631.8552,11258.0,1289.0,11033.566,1635.2692,11252.0,1292.0,11029.842,1637.054,11247.0,1292.0,11028.037,1637.8138,11246.0,1293.0
