plate,well,path,C1,C2,C3,C4,C5
P015076,B23,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B23_s1_w117B7B230-3012-469F-8007-1D45C61E6444.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B23_s1_w2693AB005-A7C1-4A65-A582-9829D7E5576B.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B23_s1_w36D4CED8A-333B-4B9B-9122-89BECA27507A.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B23_s1_w49C2D5701-CE3F-4425-8020-3A9DD94B4F80.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B23_s1_w5197784AA-2833-4895-B349-EABD40B8D32C.tif
P015076,B23,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B23_s2_w1B5439E82-5B0A-4DC6-8427-78A5A7D7B4FD.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B23_s2_w2C8F60499-9584-4B37-AF56-5831D71AD9CE.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B23_s2_w3FBE2CA1E-3716-4ABE-8603-95ECE078C70C.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B23_s2_w466256B1E-E9EC-467D-AD1A-FAF083A6B835.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B23_s2_w56DD628D9-77AB-4927-8761-E61E29EB40F3.tif
P015076,B23,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B23_s3_w1DE71191E-3831-4924-8F50-32430E37C604.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B23_s3_w20804A10F-DD50-4FF8-9685-668203F6BB51.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B23_s3_w32325517F-1684-4583-9181-B2AD0B50079F.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B23_s3_w456AB379E-B89A-4FBC-8D2E-AA9B24E8D4BF.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B23_s3_w51783FFEA-AF34-4D64-B3E8-1D565FB3619D.tif
P015076,B23,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B23_s4_w125BCC9D1-EA56-410D-BB38-AF29FDE9B962.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B23_s4_w22A2D4F59-0C81-4E03-8FE1-458E2F9D9711.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B23_s4_w39A24EEED-FFDA-492D-9865-B5840B007A0D.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B23_s4_w4CC801AED-E343-4B9D-AC32-481975361C19.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B23_s4_w56060543C-D4E8-47C8-B575-0DE4EBD895F3.tif
P015076,B23,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B23_s5_w1287376FF-ABE7-48A7-9A91-54531E3653AF.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B23_s5_w225F31A07-79E9-4E4D-9550-AF87B828E6B4.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B23_s5_w30B3FE6C1-53FF-4AFA-B12C-651908681957.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B23_s5_w4E7444B2B-70BE-4490-8F3C-CD6FDE4D028D.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B23_s5_w5DC7F8C64-0ED3-46FC-839E-88DFE20B0B8D.tif
P015076,B23,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B23_s6_w1575AF8B6-4ABC-42C9-9BAA-EC7E769F91E6.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B23_s6_w232B4C76E-6FAC-4E70-BA5D-27C443510504.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B23_s6_w316B60E4E-1382-4D1D-99B6-915E56A6D1F1.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B23_s6_w49D8E5719-F8CF-459B-A289-4B985ECF86D3.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B23_s6_w52EE0659B-F756-42FB-AA0F-4BC277BF56B7.tif
P015076,B23,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B23_s7_w19BBF3C82-FF78-4971-9BE8-00D426BFCA13.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B23_s7_w20FADEBA1-B7EA-47E3-8F54-83106BE95906.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B23_s7_w37226630F-D0DF-43D8-B540-BE9DD972758D.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B23_s7_w4FB38E3E7-6CAC-479D-AE19-939B08EE9990.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B23_s7_w56CF4BDD5-74A5-4F0C-893F-CCA7210C1F35.tif
P015076,B23,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B23_s8_w163A4F2A2-4068-42E9-B328-5FEA4D352883.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B23_s8_w2328AF7C1-FE6B-4D59-B2A4-4871B86A5E37.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B23_s8_w3F0BB3DB8-EB3B-47FA-8DF4-EEFAA610531A.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B23_s8_w4BB16E5C1-1976-4016-B764-77F6E20FF4FE.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B23_s8_w59758ABBE-EA3C-49D5-B6DB-A886913AF44B.tif
P015076,B23,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B23_s9_w1BBC974A7-81F6-4B72-87AB-8239003B83E2.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B23_s9_w210780329-3C2A-4E58-8F1B-57FA9FA5A170.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B23_s9_w3793F8165-AB59-41B7-9BFE-F5CFE9EB88EF.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B23_s9_w4F8B2A254-6ADB-471E-8424-D2A51FC1D7B1.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_B23_s9_w5CB22233C-D1C9-4912-9583-1567EC5ABB44.tif
P015076,C06,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C06_s1_w181EE185C-1B8C-4A61-82C6-838C4EA4E9F1.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C06_s1_w280958143-6E82-481F-8CD8-E57617096BF1.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C06_s1_w33D71935A-84FE-4D57-AFF4-3418CEA2E9B8.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C06_s1_w43DA866C5-2533-40B2-A3F3-0696902AE1FB.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C06_s1_w563EA7035-A057-43A3-AEF9-5015DB665BAB.tif
