plate,compound,mean_C1,std_C1,median_C1,mad_C1,mean_C2,std_C2,median_C2,mad_C2,mean_C3,std_C3,median_C3,mad_C3,mean_C4,std_C4,median_C4,mad_C4,mean_C5,std_C5,median_C5,mad_C5
P015076,CBK041182,253.37778,199.96645,213.0,22.0,1126.2874,1532.19,569.0,115.0,1320.7797,648.51764,1038.0,153.0,1003.4565,844.14417,705.0,106.0,524.2703,583.74176,304.0,64.0
P015076,CBK200601,297.51523,300.0498,219.0,26.0,1161.8595,1565.4751,576.0,165.0,1551.255,822.6218,1132.0,227.0,1314.097,1123.533,823.0,176.0,689.4363,773.71545,361.0,98.0
P015076,CBK201029,293.10263,281.1776,219.0,25.0,1301.2533,1705.2007,644.0,187.0,1532.898,768.9085,1213.0,317.0,1201.3628,969.4737,820.0,195.0,633.3666,669.9041,348.0,100.0
P015076,CBK277913,297.90164,290.54684,219.0,26.0,1265.7357,1571.5363,659.0,193.0,1518.3661,771.5397,1123.0,223.0,1209.4303,995.8196,798.0,163.0,648.6002,725.06445,348.0,99.0
P015076,dmso,300.7938,283.91937,223.0,26.0,1186.0502,1565.6506,644.0,228.0,1737.5853,835.8779,1368.0,343.0,1334.7559,990.0956,943.0,220.0,673.60474,695.6537,382.0,129.0
P015077,CBK041182,255.19827,205.47412,210.0,22.0,1218.2821,1955.1542,692.0,156.0,1634.3075,919.05286,1261.0,318.0,1165.7155,968.9121,814.0,169.0,593.63007,635.0241,344.0,95.0
P015077,CBK200601,304.7043,286.9289,215.0,27.0,1660.3501,2351.6829,916.0,294.0,2030.5624,1310.1443,1707.0,617.0,1864.9049,2135.0403,1080.0,355.0,835.5048,899.0883,487.0,197.0
P015077,CBK201029,318.73837,311.05667,221.0,28.0,1343.1411,1669.1147,815.0,253.0,1849.0378,942.92944,1699.0,617.0,1368.6848,1034.5066,998.0,311.0,765.264,761.051,484.0,199.0
P015077,CBK277913,328.32803,311.22778,221.0,30.0,1701.1342,2477.5283,992.0,349.0,2214.8145,1335.7281,2009.0,779.0,1998.6254,1905.0817,1302.0,510.0,938.86084,923.9685,595.0,270.0
P015077,dmso,328.97366,321.13907,221.0,29.0,1360.0812,1589.8501,876.0,280.0,2137.7598,1004.5426,2026.0,719.0,1592.8083,1127.284,1205.0,403.0,844.8709,821.1901,548.0,249.0
P015080,CBK200949,246.67747,173.14047,210.0,22.0,1425.0066,1917.9974,676.0,157.0,1472.7197,748.00604,1121.0,201.0,1080.6292,885.88574,745.0,130.0,544.2796,595.2095,305.0,70.0
P015080,dmso,299.05765,275.73532,219.0,26.0,1462.6868,1527.5034,868.0,271.0,1786.1595,866.6882,1533.0,482.0,1396.4396,1060.1188,967.0,272.0,702.61487,718.85956,417.0,160.0
P015081,CBK200949,246.44658,172.16495,206.0,22.0,1390.1575,1652.5375,735.0,234.0,1761.8724,787.13916,1502.0,424.0,1248.4291,904.12317,930.0,201.0,639.0636,612.8743,403.0,118.0
P015081,dmso,275.02307,236.48477,208.0,24.0,1180.2996,1373.0673,684.0,215.0,1908.6796,970.3314,1551.0,469.0,1472.2045,1162.2017,1006.0,264.0,696.3981,718.24664,395.0,131.0
P015082,CBK200558,206.10518,32.46332,204.0,20.0,568.1648,893.6893,461.0,50.0,956.3749,294.26266,922.0,70.0,646.657,263.43912,614.0,50.0,255.96645,190.20023,231.0,23.0
P015082,CBK290538,210.2161,88.286156,202.0,20.0,489.86298,722.11316,424.0,55.0,993.67285,216.70998,973.0,88.0,666.05786,182.43153,648.0,61.0,246.22623,154.44533,231.0,22.0
P015082,dmso,292.62247,266.69467,219.0,26.0,1397.9714,1587.0212,800.0,279.0,1731.1406,837.4691,1406.0,376.0,1296.8837,965.9846,930.0,228.0,640.14746,668.0216,365.0,118.0
P015083,CBK200558,195.70929,47.30369,193.0,18.0,586.2935,1050.2151,456.0,48.0,1063.1368,385.9394,1009.0,86.0,712.69324,309.7202,670.0,61.0,263.572,243.03427,230.0,23.0
P015083,CBK290538,192.68275,62.614548,188.0,17.0,516.34,803.8594,430.0,56.0,1000.72876,310.99033,974.0,77.0,672.8602,251.387,649.0,55.0,263.45312,217.33873,242.0,23.0
P015083,dmso,288.90158,257.34805,207.0,26.0,1334.7654,1353.6929,850.0,326.0,2057.4094,917.66785,1935.0,633.0,1481.2753,997.0952,1138.0,317.0,757.1497,729.2225,494.0,201.0
P015084,CBK006628,292.05118,269.18854,223.0,25.0,1157.7224,1552.3002,528.0,147.0,1419.8802,748.5636,1048.0,193.0,1088.5116,896.4866,709.0,132.0,605.053,664.30334,317.0,74.0
P015084,CBK018513,297.93423,281.10892,223.0,26.0,1303.8422,1668.4261,590.0,166.0,1510.0131,785.8254,1102.0,212.0,1165.1725,970.0857,752.0,147.0,611.0089,662.3994,321.0,82.0
P015084,CBK041779,294.04114,271.31247,224.0,25.0,1236.3838,1593.0878,585.0,160.0,1471.916,769.029,1082.0,228.0,1127.8015,931.0919,735.0,152.0,600.7094,653.44586,321.0,87.0
P015084,CBK200550,225.77571,115.65519,215.0,21.0,553.63556,916.6532,440.0,59.0,909.8826,273.03177,877.0,68.0,625.27423,304.4875,584.0,50.0,253.3408,170.83643,228.0,22.0
P015084,CBK200551,221.93985,104.18898,214.0,20.0,491.48825,823.0929,407.0,47.0,913.17664,247.25621,891.0,74.0,622.3702,279.58875,593.0,52.0,244.75833,156.46278,226.0,22.0
P015084,CBK200716,299.7142,283.06827,225.0,26.0,1370.0571,1810.0775,581.0,177.0,1514.5052,826.37634,1097.0,262.0,1162.0449,977.1864,740.0,165.0,628.6249,688.8289,329.0,93.0
P015084,CBK201011,291.7486,271.5359,222.0,25.0,1285.6542,1633.2932,585.0,151.0,1470.2941,795.1054,1069.0,230.0,1114.0048,934.31836,721.0,152.0,600.2764,661.80536,318.0,83.0
P015084,CBK201093,216.35681,55.076458,214.0,20.0,323.65628,508.6697,298.0,31.0,777.2574,163.78465,770.0,59.0,530.74854,203.76035,520.0,43.0,237.16933,137.58127,229.0,22.0
P015084,CBK228145,307.44012,295.16074,224.0,27.0,1389.3966,1719.5033,652.0,241.0,1604.8761,817.24854,1214.0,323.0,1213.6265,956.51385,803.0,193.0,654.2367,687.4544,362.0,119.0
P015084,CBK277955,283.40714,281.31723,221.0,24.0,1157.8721,1700.1908,511.0,135.0,1314.0676,739.41833,961.0,187.0,968.42773,874.2258,641.0,118.0,564.1244,663.0558,313.0,76.0
P015084,CBK277972,279.07877,270.55695,221.0,24.0,1183.5142,1694.9513,568.0,167.0,1469.8335,820.695,1121.0,233.0,1082.5874,966.7889,746.0,151.0,566.774,674.9905,311.0,71.0
P015084,CBK278064,215.40729,60.101955,213.0,20.0,437.83203,638.2833,407.0,42.0,795.2523,165.63306,789.0,57.0,538.1338,158.77266,530.0,42.0,228.7654,141.45506,221.0,21.0
P015084,CBK288259,253.09846,194.75594,218.0,22.0,934.1687,1498.2762,463.0,70.0,1112.1389,512.3791,944.0,87.0,813.3828,600.2458,623.0,64.0,420.34735,474.3388,267.0,35.0
P015084,CBK288281,282.30103,254.58519,223.0,24.0,1248.0153,1980.1072,496.0,111.0,1308.1614,694.5332,997.0,135.0,961.21466,771.5084,662.0,96.0,528.6986,595.74786,296.0,58.0
P015084,CBK288284,215.64307,51.60889,214.0,20.0,387.041,554.30945,357.0,42.0,848.868,150.30075,845.0,60.0,571.86365,128.67435,566.0,44.0,230.68132,115.244644,224.0,21.0
P015084,CBK288285,249.43503,198.57097,216.0,22.0,836.46045,1626.7384,432.0,62.0,1144.7667,578.7107,979.0,89.0,808.16534,622.3936,641.0,64.0,420.65445,605.2217,259.0,34.0
P015084,CBK288286,275.14664,264.9725,221.0,23.0,1113.7837,1735.3413,487.0,95.0,1249.3191,678.7517,963.0,130.0,898.91534,740.9251,633.0,90.0,514.3135,636.0966,284.0,49.0
P015084,CBK288288,304.55988,299.82733,225.0,26.0,1321.8314,1664.7234,613.0,185.0,1547.8055,793.14246,1151.0,272.0,1160.3538,929.8833,774.0,173.0,624.0516,662.01276,340.0,101.0
P015084,CBK288349,278.87915,273.9986,222.0,23.0,1217.2244,1929.4695,597.0,215.0,1386.6711,784.18024,1081.0,187.0,1020.51996,918.5055,715.0,122.0,551.38257,691.18,309.0,59.0
P015084,CBK290052,295.96222,284.1629,221.0,25.0,1188.201,1559.7904,593.0,190.0,1492.9602,787.69,1113.0,252.0,1155.0616,944.17847,760.0,162.0,636.80457,659.9394,369.0,105.0
