plate,compound,mean_C1,std_C1,median_C1,mad_C1,mean_C2,std_C2,median_C2,mad_C2,mean_C3,std_C3,median_C3,mad_C3,mean_C4,std_C4,median_C4,mad_C4,mean_C5,std_C5,median_C5,mad_C5
P015076,plate,292.6976,276.98514,219.0,25.0,1212.4418,1601.2966,626.0,191.0,1584.0828,812.5008,1229.0,305.0,1247.7334,1005.8872,845.0,198.0,649.142,701.0761,353.0,105.0
P015077,plate,307.64676,292.11896,217.0,27.0,1429.3523,1952.7721,843.0,263.0,1980.9281,1117.0779,1782.0,644.0,1582.8013,1500.1012,1066.0,345.0,791.4204,816.9395,488.0,203.0
P015080,plate,271.15393,227.40161,214.0,24.0,1460.2555,1786.596,760.0,225.0,1620.7532,828.7446,1228.0,303.0,1227.9835,985.9163,823.0,192.0,622.57227,662.51434,337.0,103.0
P015081,plate,257.60837,199.64182,207.0,23.0,1315.2783,1576.2555,708.0,216.0,1812.9846,868.97534,1486.0,418.0,1331.0402,1015.8454,950.0,214.0,656.90466,651.29877,397.0,120.0
P015082,plate,257.90768,215.06305,211.0,23.0,1032.8466,1390.7572,556.0,147.0,1425.3461,757.6709,1114.0,192.0,1033.6063,812.3422,746.0,134.0,480.39514,559.7285,275.0,57.0
P015083,plate,241.47572,192.68903,198.0,21.0,934.63983,1219.5758,526.0,123.0,1547.1332,866.96075,1165.0,232.0,1087.9742,831.7131,777.0,156.0,510.62292,595.7255,279.0,62.0
P015084,plate,272.10236,240.36066,221.0,24.0,1037.0708,1568.801,505.0,123.0,1303.1024,726.2515,1002.0,163.0,961.0253,817.1984,671.0,113.0,498.39163,590.16656,284.0,58.0
P015085,plate,257.99078,227.13567,202.0,22.0,1072.3218,1411.9148,547.0,160.0,1559.9026,866.0703,1171.0,276.0,1123.2335,943.3707,783.0,175.0,587.67975,672.4048,321.0,94.0
P015090,plate,250.499,205.51556,214.0,22.0,640.52856,1046.1859,361.0,66.0,955.2531,560.6677,759.0,88.0,665.8927,543.5522,504.0,62.0,399.99542,498.13348,253.0,36.0
P015091,plate,242.056,206.6327,201.0,21.0,695.6294,1063.6896,439.0,83.0,1303.8641,800.42786,988.0,150.0,915.45465,788.794,654.0,102.0,462.59735,597.9976,262.0,46.0
P015092,plate,267.735,229.90443,217.0,23.0,1004.8797,1116.1753,656.0,144.0,1134.1744,666.7462,860.0,150.0,802.8267,658.26245,568.0,100.0,480.51385,570.40875,275.0,52.0
P015093,plate,265.41525,236.35231,203.0,23.0,1058.9656,931.10834,800.0,175.0,1580.426,891.63586,1172.0,296.0,1111.1254,876.72046,775.0,186.0,589.4339,678.19855,310.0,87.0
P015094,plate,267.5459,232.26555,212.0,23.0,1072.455,1104.7985,686.0,149.0,1262.6119,697.31,937.0,181.0,877.60205,679.24695,621.0,121.0,528.0564,593.23126,296.0,68.0
P015095,plate,284.7931,261.29062,210.0,25.0,940.5258,970.8666,610.0,172.0,1727.9993,921.6569,1401.0,434.0,1180.0048,901.2087,862.0,219.0,660.8563,711.0182,375.0,128.0
P015096,plate,255.27968,292.29782,204.0,22.0,1156.1228,1082.8989,833.0,291.0,1262.1786,712.5034,950.0,163.0,907.5399,744.474,634.0,110.0,494.98212,572.0357,282.0,61.0
P015097,plate,263.72244,245.5201,200.0,23.0,1352.0364,848.6207,1178.0,242.0,1489.4767,872.14703,1069.0,241.0,1020.7139,795.5772,704.0,151.0,545.927,630.82587,293.0,83.0
P015098,plate,252.24315,265.43958,207.0,22.0,1191.0264,1186.6013,853.0,244.0,1151.4789,667.43195,891.0,117.0,818.5147,678.32904,593.0,84.0,441.26752,535.60046,262.0,45.0
P015099,plate,256.8914,232.96732,204.0,22.0,980.591,895.16815,759.0,158.0,1431.4325,908.0527,1029.0,198.0,977.98627,832.6594,678.0,132.0,517.96936,640.59045,281.0,63.0
