,plate,well,compound,path,C1,C2,C3,C4,C5,moa,_merge
0,P015078,B10,dmso,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015078-U2OS-48h-P2-L1/2021-12-16/848,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B10_s1_w1C654BDFC-C6BE-4606-BC00-399AF5EFFCE7.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B10_s1_w2CE08C8E3-A8E7-4C1F-84E6-41061A2701AE.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B10_s1_w3B80EF98A-8651-49FC-AC79-4FF833D7F05E.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B10_s1_w495A3E616-066A-4D77-B85D-428B77F57F52.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B10_s1_w5E4A9E807-544F-446A-9FE3-268C1F7BC8D2.tif,dmso,left_only
1,P015078,B10,dmso,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015078-U2OS-48h-P2-L1/2021-12-16/848,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B10_s2_w1A4EE4C54-9FD9-4AB0-AC0E-71ADB319420C.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B10_s2_w2F8D887FA-324A-4318-B15B-B1046B4E420A.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B10_s2_w3465677FE-0157-4030-B004-E5F2E26227D2.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B10_s2_w477573C8E-6F0E-4C18-82AD-DD6E8179909B.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B10_s2_w5689AF241-39C2-43B9-865E-5A5FF43644B4.tif,dmso,left_only
2,P015078,B10,dmso,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015078-U2OS-48h-P2-L1/2021-12-16/848,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B10_s3_w1C71BCC26-5A54-49DE-B5C2-602F7256369E.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B10_s3_w2245ADC6D-890F-4943-A869-67C2ED8D90AD.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B10_s3_w3C2337050-44CD-4082-A175-0F413AD14342.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B10_s3_w4530E547F-3CC1-475A-B1DE-7C1F6063B8B6.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B10_s3_w53209760B-0B07-4CB3-A11A-73CEC815CAF7.tif,dmso,left_only
3,P015078,B10,dmso,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015078-U2OS-48h-P2-L1/2021-12-16/848,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B10_s4_w19C83D1A6-1E98-4C4E-B9A9-3EA784D9CAE8.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B10_s4_w25543FEA3-4E1A-4680-A04D-8E381CC32125.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B10_s4_w38D583310-B645-44D0-8BB5-A4CAB6ADCBE2.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B10_s4_w421D09B83-CED0-4B50-8CE6-3574EC3E39FF.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B10_s4_w5B11D1C79-C29D-4131-84C6-BFB6528D13F4.tif,dmso,left_only
4,P015078,B10,dmso,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015078-U2OS-48h-P2-L1/2021-12-16/848,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B10_s5_w11DF9892E-A419-4789-8706-75993DF64D88.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B10_s5_w2AA12BF8E-2C3D-4DB0-9993-3413D6122DDD.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B10_s5_w35C975C3E-79F9-4AD3-B04B-A404C68C2FCC.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B10_s5_w47DDA44B5-4ECB-433C-B4F3-BF33B8B9F549.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B10_s5_w567C6754C-A38F-4FDA-8267-0F8902A7D4F4.tif,dmso,left_only
5,P015078,B10,dmso,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015078-U2OS-48h-P2-L1/2021-12-16/848,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B10_s6_w1D9E628F0-79F3-4BD4-8DD1-A5A998E2D8E4.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B10_s6_w22CA496FB-2E83-43F3-87C9-46A79C73CB45.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B10_s6_w3B5189278-D1AF-4E17-961A-A6CA7F1DCA1B.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B10_s6_w453FEACAD-AD19-433B-8E88-EAB5205B53C3.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B10_s6_w5853D8319-915E-4862-BE0A-A32127E18284.tif,dmso,left_only
6,P015078,B10,dmso,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015078-U2OS-48h-P2-L1/2021-12-16/848,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B10_s7_w145483D48-2D1D-44E1-8423-B664E0B1DE51.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B10_s7_w209B6ACD4-1F64-43AA-AE0B-DE3A88F4406A.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B10_s7_w36F3069C9-96A2-44F9-9557-FB67193BC9DF.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B10_s7_w4EA0832D4-366A-4DC1-BFF0-CF97F84B6AE2.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B10_s7_w5823CE76B-6D8D-46D3-976E-3846421A7A31.tif,dmso,left_only
7,P015078,B10,dmso,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015078-U2OS-48h-P2-L1/2021-12-16/848,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B10_s8_w1FEB3ED9D-96C1-451F-BC5A-750B79E12988.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B10_s8_w29102E5C9-80AB-4432-9C2E-DE96F2A33824.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B10_s8_w3966AD271-901D-4DBC-8C06-428035729332.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B10_s8_w48D1754BB-82BC-4F7F-82E5-5E86FC2E8B2B.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B10_s8_w507CB3FD1-398E-443D-99F6-B7F5C3D4B94E.tif,dmso,left_only
8,P015078,B10,dmso,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015078-U2OS-48h-P2-L1/2021-12-16/848,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B10_s9_w137223BD6-98CD-4421-8628-2F0F7E2E0436.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B10_s9_w2888FF1AF-C4D6-4C57-8CF3-8EC59EDCE148.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B10_s9_w39A7E3D30-20C9-403D-9791-15A775DFEFFB.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B10_s9_w454AEAFBE-E627-44B7-A903-4D34E9C9367F.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B10_s9_w59D78C7A7-2FA8-48A8-BE37-1B74CCB81D94.tif,dmso,left_only
9,P015078,B21,dmso,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015078-U2OS-48h-P2-L1/2021-12-16/848,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B21_s1_w134DE4F49-01E6-40EA-BB85-84872E783C45.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B21_s1_w20ED754F4-C81C-447B-A2E8-1AA81FF43902.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B21_s1_w3F9F32BD2-4262-4940-8B59-00E6DF51A57C.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B21_s1_w4B78B7A56-91DA-4719-BC68-46644FA914C4.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B21_s1_w53BD95DE3-9398-47C4-BE13-7BF5C5F2427F.tif,dmso,left_only
