plate,compound,well,site,mean_C1,std_C1,median_C1,mad_C1,mean_C2,std_C2,median_C2,mad_C2,mean_C3,std_C3,median_C3,mad_C3,mean_C4,std_C4,median_C4,mad_C4,mean_C5,std_C5,median_C5,mad_C5
P015076,CBK041182,E23,s2,0.07557248799725652111,89.467395348086512286,-3.0,22.0,-0.44422860939643349365,688.95233188468910157,-25.0,71.0,0.058119641632373111872,231.49837561555159482,-11.0,60.0,0.13097136488340191396,298.17778743799937047,-15.0,52.0,0.17458697702331962831,250.98926047320429689,-14.0,40.0
P015076,CBK041182,E23,s4,0.04526556069958848072,77.77022170551273916,-2.0,21.0,-0.100349794238683120984,490.3868249236346628,-15.0,59.0,0.0082915380658436215605,159.52009761972257706,-6.0,48.0,0.041595721879286694234,224.2006310268343725,-9.0,45.0,0.07762259945130314809,184.48015706107963751,-7.0,32.0
P015076,CBK041182,E23,s5,0.054081361454046641968,92.113889086735767364,-3.0,22.0,-1.4228405778463648623,609.4266729550115542,-20.0,67.0,0.0028487225651577501723,193.03784326166365304,-8.0,55.0,0.05273233882030178149,264.372482297856493,-12.0,50.0,0.10149755658436214467,217.55949258157653503,-10.0,37.0
P015076,CBK041182,E23,s6,0.04381837277091906596,83.199749198125218186,-2.0,21.0,0.17299382716049382935,514.8082621531929135,-14.0,54.0,0.039993569958847736967,184.54225916175906264,-7.0,46.0,0.081453189300411524276,240.79816103378459502,-8.0,44.0,0.13752914951989025916,200.10297441219336179,-9.0,32.0
P015076,CBK041182,E23,s8,0.058769504458161862803,84.8005326208630521,-3.0,22.0,-0.70569980281207134176,541.1818727276569234,-22.0,69.0,0.08484010631001372149,182.42243474115943513,-10.0,59.0,0.14108539094650204837,261.97885372593071907,-13.0,50.0,0.15976230281207132178,204.89386164749302566,-11.0,39.0
P015076,CBK041182,E23,all,0.055501457475994511737,85.61649377740660327,-3.0,22.0,-0.5000249914266118312,573.4879770710113007,-19.0,63.0,0.038818715706447189107,191.64319096297063538,-8.0,53.0,0.08956760116598079524,259.1082428329564209,-11.0,48.0,0.13019971707818930873,212.78316260005917115,-10.0,36.0
P015076,CBK041182,H13,s2,0.04858667695473251058,95.54666442490129441,-4.0,22.0,-1.6962315672153636115,540.08974335600635186,-22.0,71.0,0.028948259602194787582,201.60874240461291151,-10.0,58.0,0.058990269204389572666,327.95486622162275125,-14.0,53.0,0.09044388717421124324,227.55496712579071072,-12.0,40.0
P015076,CBK041182,H13,s4,0.04786458333333333537,81.27646776616127511,-2.0,21.0,-0.29587341392318244893,493.9489139536420339,-16.0,61.0,0.040841263717421125157,177.20019862883620476,-7.0,49.0,0.07384409293552812725,266.4523034578410261,-10.0,48.0,0.12930448388203016896,206.40898012143122742,-8.0,36.0
P015076,CBK041182,H13,s5,0.071440114883401920065,84.43935437019740675,-3.0,22.0,-0.09905821330589849316,511.96304313787265983,-19.0,63.0,0.07594135802469136054,181.60610949109880607,-9.0,52.0,0.14450360082304528064,280.6553362350563816,-12.0,48.0,0.15415209190672155004,214.5336923834096865,-10.0,36.0
P015076,CBK041182,H13,s6,0.08240312071330589683,96.74846120774272151,-4.0,23.0,-0.22386424039780522532,648.7353209828784202,-26.0,77.0,0.068776363168724277686,222.62192496384150786,-10.0,61.0,0.13561642661179698632,339.48420231453195584,-15.0,55.0,0.13758058984910837008,263.17608410816927744,-14.0,42.0
P015076,CBK041182,H13,s8,0.056177769204389577107,91.60760493817249994,-3.0,21.0,0.07163880315500685547,520.6336049153235308,-18.0,62.0,0.052335819615912208824,191.59703229426145299,-8.0,50.0,0.11767211076817558901,307.733943031819706,-11.0,48.0,0.13913880315500684604,211.64853104564525665,-9.0,36.0
P015076,CBK041182,H13,all,0.061294453017832650765,90.130186733918776554,-3.0,22.0,-0.44867772633744856803,545.840179633103844,-20.0,66.0,0.05336861282578875265,195.5999591889182625,-9.0,54.0,0.10612530006858710008,305.70193035351167055,-13.0,50.0,0.13012397119341564955,225.59582865613856484,-10.0,38.0
P015076,CBK041182,J05,s2,0.05071652091906721227,74.89593950396265143,-2.0,21.0,-1.6066321587791494441,585.71593994041825226,-16.0,60.0,0.051678883744855970417,174.38952882117683885,-7.0,47.0,0.099259044924554187816,254.96368349753456073,-10.0,46.0,0.11695794753086419249,195.36292838723471732,-8.0,34.0
P015076,CBK041182,J05,s4,0.06233303326474622791,88.250853416342280866,-3.0,22.0,-0.19456018518518519711,657.9960125873381003,-24.0,74.0,0.038506944444444447806,203.73558701764980583,-9.0,56.0,0.09223401063100136743,330.80932550106729195,-14.0,54.0,0.11998413923182441043,235.4354699595863849,-11.0,41.0
P015076,CBK041182,J05,s5,0.039758659122085045212,88.82090485514596878,-3.0,22.0,-1.8372916666666667673,748.07053551271826564,-26.0,74.0,0.0059083504801097390044,236.87799409448359711,-11.0,59.0,0.047687542866941018405,364.83953683059479545,-16.0,56.0,0.124500600137174205484,269.01712471080639943,-13.0,42.0
P015076,CBK041182,J05,s6,0.07438078703703704386,94.124929792105106685,-3.0,22.0,-2.6138044410150893526,695.99402787261703907,-22.0,70.0,0.046784550754458163746,235.58016283366637822,-10.0,55.0,0.119622985253772295966,366.56267228353658538,-14.0,53.0,0.13330161179698216123,257.77429883097283891,-12.0,40.0
P015076,CBK041182,J05,s8,0.053591177983539094176,86.08410743619403149,-3.0,22.0,-0.22059242112482851939,595.543244746708865,-23.0,73.0,0.034091863854595338967,205.40305682762894435,-9.0,56.0,0.08882094478737996568,328.34445394209313918,-14.0,55.0,0.13032064471879287182,227.15035471591235705,-12.0,42.0
P015076,CBK041182,J05,all,0.056156035665294923298,86.668038698316067325,-3.0,22.0,-1.2945761745541837229,659.5021425199620353,-22.0,69.0,0.035394118655692731468,212.4709445625680928,-9.0,55.0,0.089524905692729764284,331.5802929250600073,-14.0,53.0,0.12501298868312757384,238.3323816285152077,-11.0,40.0
P015076,CBK041182,all,all,0.057650648719707361933,87.49282545736551242,-3.0,22.0,-0.7477596307727480962,594.9155366883359193,-20.0,66.0,0.042527149062642891075,200.10860313172196356,-9.0,54.0,0.095072602309099224493,300.29776476340833824,-12.0,50.0,0.12844555898491083479,225.81148210118175257,-10.0,38.0
P015076,CBK200601,H08,s2,0.13304269547325103806,143.82158900966044257,-9.0,28.0,-1.4802863511659807294,840.96613302606067464,-35.0,101.0,0.08939964849108367195,295.99066671255093297,-15.0,77.0,0.20552919238683128866,438.07718286331191848,-24.0,76.0,0.26836119684499315508,358.503639683884046,-22.0,58.0
P015076,CBK200601,H08,s4,0.11920610425240055208,155.41428941673706277,-9.0,28.0,-0.43348743998628258556,790.14845643874127745,-34.0,101.0,0.058902391975308644734,289.9299948557216453,-14.0,77.0,0.12431048525377229319,460.78634048434139459,-24.0,78.0,0.19419795953360768914,344.64668960993680003,-20.0,58.0
P015076,CBK200601,H08,s5,0.14312992969821672351,170.50204117621444766,-14.0,34.0,0.1390633573388203037,849.60340428387428346,-53.0,145.0,0.09846557784636487953,364.28273592698695893,-23.0,115.0,0.1609377143347050787,607.66221734541579735,-37.0,108.0,0.24949459876543209069,446.32346579781096807,-33.0,81.0
