plate,well,site,bf_site,nuclei_count
P015076,B16,s2,s1,127
P015076,B16,s4,s2,146
P015076,B16,s5,s3,160
P015076,B16,s6,s4,136
P015076,B16,s8,s5,129
P015076,C21,s2,s1,156
P015076,C21,s4,s2,140
P015076,C21,s5,s3,171
P015076,C21,s6,s4,170
P015076,C21,s8,s5,179
P015076,D22,s2,s1,96
P015076,D22,s4,s2,159
P015076,D22,s5,s3,146
P015076,D22,s6,s4,113
P015076,D22,s8,s5,141
P015076,H08,s2,s1,145
P015076,H08,s4,s2,146
P015076,H08,s5,s3,196
P015076,H08,s6,s4,118
P015076,H08,s8,s5,117
P015076,I03,s2,s1,137
P015076,I03,s4,s2,131
P015076,I03,s5,s3,155
P015076,I03,s6,s4,140
P015076,I03,s8,s5,159
P015076,I06,s2,s1,103
P015076,I06,s4,s2,122
P015076,I06,s5,s3,66
P015076,I06,s6,s4,130
P015076,I06,s8,s5,113
P015076,J18,s2,s1,151
P015076,J18,s4,s2,138
P015076,J18,s5,s3,137
P015076,J18,s6,s4,147
P015076,J18,s8,s5,149
P015076,K10,s2,s1,154
P015076,K10,s4,s2,94
P015076,K10,s5,s3,119
P015076,K10,s6,s4,122
P015076,K10,s8,s5,118
P015076,M06,s2,s1,134
P015076,M06,s4,s2,143
P015076,M06,s5,s3,132
P015076,M06,s6,s4,135
P015076,M06,s8,s5,168
P015076,D13,s2,s1,154
P015076,D13,s4,s2,125
P015076,D13,s5,s3,158
P015076,D13,s6,s4,146
P015076,D13,s8,s5,146
P015076,H16,s2,s1,165
P015076,H16,s4,s2,136
P015076,H16,s5,s3,142
P015076,H16,s6,s4,161
P015076,H16,s8,s5,117
P015076,M07,s2,s1,218
P015076,M07,s4,s2,119
P015076,M07,s5,s3,87
P015076,M07,s6,s4,145
P015076,M07,s8,s5,147
P015076,M18,s2,s1,137
P015076,M18,s4,s2,111
P015076,M18,s5,s3,173
P015076,M18,s6,s4,154
P015076,M18,s8,s5,154
P015076,N09,s2,s1,151
P015076,N09,s4,s2,153
P015076,N09,s5,s3,157
P015076,N09,s6,s4,126
P015076,N09,s8,s5,152
P015076,L02,s2,s1,161
P015076,L02,s4,s2,86
P015076,L02,s5,s3,126
P015076,L02,s6,s4,174
P015076,L02,s8,s5,121
P015076,E23,s2,s1,52
P015076,E23,s4,s2,41
P015076,E23,s5,s3,53
P015076,E23,s6,s4,39
P015076,E23,s8,s5,52
P015076,H13,s2,s1,56
P015076,H13,s4,s2,43
P015076,H13,s5,s3,48
P015076,H13,s6,s4,59
P015076,H13,s8,s5,41
P015076,J05,s2,s1,38
P015076,J05,s4,s2,50
P015076,J05,s5,s3,54
P015076,J05,s6,s4,54
P015076,J05,s8,s5,49
P015076,K14,s2,s1,181
P015076,K14,s4,s2,116
P015076,K14,s5,s3,116
P015076,K14,s6,s4,101
P015076,K14,s8,s5,152
P015076,O04,s2,s1,135
P015076,O04,s4,s2,146
P015076,O04,s5,s3,124
P015076,O04,s6,s4,147
P015076,O04,s8,s5,181
P015077,D16,s2,s1,139
P015077,D16,s4,s2,193
P015077,D16,s5,s3,185
P015077,D16,s6,s4,186
P015077,D16,s8,s5,267
P015077,E12,s2,s1,204
P015077,E12,s4,s2,241
P015077,E12,s5,s3,213
P015077,E12,s6,s4,202
P015077,E12,s8,s5,265
P015077,H22,s2,s1,145
P015077,H22,s4,s2,248
P015077,H22,s5,s3,141
P015077,H22,s6,s4,136
P015077,H22,s8,s5,130
P015077,I13,s2,s1,235
P015077,I13,s4,s2,175
P015077,I13,s5,s3,237
P015077,I13,s6,s4,267
P015077,I13,s8,s5,291
P015077,J20,s2,s1,256
