plate,well,f_site,bf_site,f_nuc_path,bf_nuc_path,f_ref_a,f_ref_b,f_ref_c,f_ref_d,bf_ref_a,bf_ref_b,bf_ref_c,bf_ref_d
P015076,E23,s2,s1,specs935-v1-FA-P015076-U2OS-48h-P1-L1_E23_s2_w14EA6DBEE-67E7-4F03-BE9A-147CB70D56C1.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_E23_s1_w1081F8D91-7DCD-4B1D-B7AC-4EE52F1FDE44.tif,0,-8,18,2160,8,2160,0,-18
P015076,E23,s4,s2,specs935-v1-FA-P015076-U2OS-48h-P1-L1_E23_s4_w1F17FC2CF-CAB6-4B92-83AF-32FC6FFD7693.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_E23_s2_w1353CFBD6-C241-49C5-AAEF-EFE6A2C8B112.tif,0,-8,17,2160,8,2160,0,-17
P015076,E23,s5,s3,specs935-v1-FA-P015076-U2OS-48h-P1-L1_E23_s5_w1B469A408-41DB-483B-A4E3-EDE0329C13F6.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_E23_s3_w116E114AC-5BC6-44C3-9088-1F141086C345.tif,0,-8,18,2160,8,2160,0,-18
P015076,E23,s6,s4,specs935-v1-FA-P015076-U2OS-48h-P1-L1_E23_s6_w1C02E1C26-D116-460A-84EF-13BF636C173C.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_E23_s4_w1518ED74F-616A-48BD-9C62-D8347A10B33C.tif,0,-8,18,2160,8,2160,0,-18
P015076,E23,s8,s5,specs935-v1-FA-P015076-U2OS-48h-P1-L1_E23_s8_w16DFA3130-A2F4-42D5-8B16-B18ACDEA6EE8.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_E23_s5_w14ABAB7E7-97DB-4D75-BB2A-B639186275A3.tif,0,-8,18,2160,8,2160,0,-18
P015076,H08,s2,s1,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H08_s2_w1FC3D628F-1BCB-42CC-BCEB-C1D5FEC50DAD.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_H08_s1_w1ADF2B7F1-F0BB-4BDE-BDB5-A37E5E4C2CB2.tif,0,-13,0,-10,13,2160,10,2160
P015076,H08,s4,s2,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H08_s4_w1305E3910-0201-40F9-ACD5-5D38BF2FE07A.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_H08_s2_w1E0093678-7D6A-41F0-9075-E5F1D94B6A78.tif,0,-13,0,-10,13,2160,10,2160
P015076,H08,s5,s3,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H08_s5_w1B9B22582-7633-4F5F-B2CF-CE4B8001C878.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_H08_s3_w152F23FB8-CCFB-483F-8CD9-CAFA1323F697.tif,0,-13,0,-10,13,2160,10,2160
P015076,H08,s6,s4,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H08_s6_w10B4D3FCF-DF43-4BAB-A6E7-50F06669B631.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_H08_s4_w15E121E47-0807-4992-8079-220A2420A827.tif,0,-12,0,-10,12,2160,10,2160
P015076,H08,s8,s5,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H08_s8_w14045C6F6-8845-43D6-83AB-BECE942963EA.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_H08_s5_w1EE5099A7-F14D-482B-A1DA-B0B5206B9AF4.tif,0,-12,0,-10,12,2160,10,2160
P015076,H13,s2,s1,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H13_s2_w17E9B18CC-B42B-4F12-91EB-2222B415602D.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_H13_s1_w14B9CE07E-078A-4CC1-9F8B-B4E8E02CB0B3.tif,0,-9,0,-1,9,2160,1,2160
P015076,H13,s4,s2,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H13_s4_w1609B3AAA-79E7-46E9-ADD4-D651F7181C08.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_H13_s2_w16B216E64-09DF-4FDF-840F-53B2C4912330.tif,0,-9,0,-1,9,2160,1,2160
P015076,H13,s5,s3,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H13_s5_w12F815305-8BCB-41F5-AC4E-65BC35B7C969.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_H13_s3_w1F25C9F38-D8D4-4E1A-8ACD-E9ADB6602D1E.tif,0,-8,0,2160,8,2160,0,2160
